k,gamma,seed,fold,f1,train_time,test_time,total_time,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,f1_class_6
1,0.0001,42,,0.616865951993872,8.821487426757812e-06,0.8822975158691406,0.8823063373565674,0.7333333333333333,0.3548387096774194,0.4827586206896552,0.65,0.0,1.0,0.6153846153846154
1,0.0001,43,,0.6050220977279801,5.0067901611328125e-06,0.7495224475860596,0.7495274543762207,0.6274509803921569,0.6153846153846154,0.6181818181818182,0.47058823529411764,0.0,0.6666666666666666,0.691358024691358
1,0.0001,44,,0.6363769313968307,5.0067901611328125e-06,0.7291436195373535,0.7291486263275146,0.6597938144329897,0.2962962962962963,0.7441860465116279,0.4318181818181818,0.0,0.6666666666666666,0.8222222222222222
1,0.0001,45,,0.6256571832511683,5.9604644775390625e-06,0.7492213249206543,0.7492272853851318,0.6538461538461539,0.5555555555555556,0.5909090909090909,0.42105263157894735,0.0,1.0,0.7857142857142857
1,0.0001,46,,0.4406559890118222,4.291534423828125e-06,0.7543668746948242,0.754371166229248,0.6739130434782609,0.26229508196721313,0.5106382978723404,0.4,0.0,0.0,0.29508196721311475
1,0.0001,47,,0.7074611896040467,3.5762786865234375e-06,0.6860566139221191,0.6860601902008057,0.7307692307692307,0.5714285714285714,0.6111111111111112,0.625,0.0,0.0,0.875
1,0.0001,48,,0.6274177207852731,5.9604644775390625e-06,0.7038273811340332,0.7038333415985107,0.6021505376344086,0.631578947368421,0.4444444444444444,0.5405405405405406,0.0,0.6666666666666666,0.813953488372093
1,0.0001,49,,0.6849827444394574,8.106231689453125e-06,0.6916172504425049,0.6916253566741943,0.6744186046511628,0.4117647058823529,0.8,0.6222222222222222,0.0,0.0,0.8131868131868132
1,0.0001,50,,0.6806194369377073,1.33514404296875e-05,0.6985862255096436,0.6985995769500732,0.7096774193548387,0.782608695652174,0.6829268292682927,0.41935483870967744,0.4,0.0,0.8478260869565217
1,0.0001,51,,0.6512302595335376,4.76837158203125e-06,0.7878735065460205,0.7878782749176025,0.5932203389830508,0.6896551724137931,0.5161290322580645,0.4126984126984127,0.4,1.0,0.92
1,0.01,42,,0.616865951993872,3.814697265625e-06,0.8267776966094971,0.8267815113067627,0.7333333333333333,0.3548387096774194,0.4827586206896552,0.65,0.0,1.0,0.6153846153846154
1,0.01,43,,0.6053241170431688,3.5762786865234375e-06,0.6834433078765869,0.6834468841552734,0.6274509803921569,0.6,0.6181818181818182,0.47761194029850745,0.0,0.6666666666666666,0.691358024691358
