k,gamma,seed,fold,f1,train_time,test_time,total_time,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,f1_class_6
1,0.0001,42,,0.6210014150587773,0.0835874080657959,7.411847114562988,7.495434522628784,0.6111111111111112,0.6956521739130435,0.35294117647058826,0.46875,0.0,0.6666666666666666,0.8571428571428571
1,0.0001,43,,0.6252278945705898,0.09238171577453613,0.9461722373962402,1.0385539531707764,0.6304347826086957,0.23529411764705882,0.46511627906976744,0.5714285714285714,0.0,0.6666666666666666,0.8495575221238938
1,0.0001,44,,0.6081218131521383,0.08766365051269531,1.040853500366211,1.1285171508789062,0.5454545454545454,0.47058823529411764,0.35714285714285715,0.5714285714285714,0.4,0.0,0.8695652173913043
1,0.0001,45,,0.6337634146903832,0.08101367950439453,0.9766626358032227,1.0576763153076172,0.7010309278350515,0.45161290322580644,0.2857142857142857,0.5074626865671642,0.0,0.5,0.8849557522123894
1,0.0001,46,,0.6274534387488747,0.08556675910949707,0.9626212120056152,1.0481879711151123,0.7010309278350515,0.6086956521739131,0.35294117647058826,0.5507246376811594,0.0,0.0,0.7833333333333333
1,0.0001,47,,0.6490487672579254,0.08223342895507812,0.9595205783843994,1.0417540073394775,0.6875,0.47619047619047616,0.4666666666666667,0.6197183098591549,0.0,0.0,0.8064516129032258
1,0.0001,48,,0.586631874857089,0.08042550086975098,1.0928258895874023,1.1732513904571533,0.5581395348837209,0.6153846153846154,0.3076923076923077,0.5384615384615384,0.0,0.0,0.8070175438596491
1,0.0001,49,,0.6396857142857143,0.08278751373291016,0.9563915729522705,1.0391790866851807,0.7047619047619048,0.3333333333333333,0.3333333333333333,0.5866666666666667,0.0,0.0,0.875
1,0.0001,50,,0.7134000112152236,0.07716012001037598,0.9250378608703613,1.0021979808807373,0.6981132075471698,0.6923076923076923,0.6222222222222222,0.6206896551724138,0.4,0.0,0.8785046728971962
1,0.0001,51,,0.5616062590239411,0.08199763298034668,0.943244218826294,1.0252418518066406,0.4827586206896552,0.38095238095238093,0.5263157894736842,0.40540540540540543,0.0,0.5,0.8333333333333334
1,0.01,42,,0.654741956074176,0.0903475284576416,7.800077438354492,7.890424966812134,0.6788990825688074,0.8,0.41379310344827586,0.4262295081967213,0.0,0.6666666666666666,0.8849557522123894
1,0.01,43,,0.6471808315723188,0.08071494102478027,1.04518723487854,1.1259021759033203,0.6153846153846154,0.5263157894736842,0.5454545454545454,0.5714285714285714,0.0,0.6666666666666666,0.8305084745762712
1,0.01,44,,0.6392787956026065,0.08666181564331055,1.1387748718261719,1.2254366874694824,0.6213592233009708,0.47058823529411764,0.3448275862068966,0.64,0.0,0.6666666666666666,0.85
