method,mode,n_seeds,acc_mean,acc_std,f1_mean,f1_std,time_mean,time_std
eucl_params,barycenter,4,0.3125,0.0960143218483576,0.25408669149477975,0.11672653221777404,140.29744124412537,12.229006410299014
eucl_params,knn,4,0.4625,0.12437342963832751,0.45947836885336885,0.11740275566164157,2.655390679836273,0.02952158385896579
eucl_raw,barycenter,4,0.2875,0.04145780987944249,0.1850373215647815,0.054926410542865796,114.04925948381424,4.570901572764583
eucl_raw,knn,4,0.35,0.05000000000000002,0.30367288961038963,0.061720357990410785,2.6188400387763977,0.04944394668897011
wasps,barycenter,4,0.3,0.08660254037844387,0.17291666666666666,0.12149602759852776,237.96539533138275,46.92259285438354
wasps,knn,4,0.4875,0.08926785535678564,0.4697195165945166,0.08921438601365203,2.660836398601532,0.05202891669423533
