method,mode,k,n_seeds,acc_mean,acc_std,f1_mean,f1_std,time_mean,time_std
eucl_params,knn,1,1,0.2,0.0,0.2,0.0,0.17482471466064453,0.0
eucl_raw,knn,1,1,0.5,0.0,0.45999999999999996,0.0,0.25113964080810547,0.0
wasps,knn,1,1,0.2,0.0,0.2,0.0,0.3299429416656494,0.0
