method,mode,n_seeds,acc_mean,acc_std,f1_mean,f1_std,time_mean,time_std
eucl_params,knn,4,0.3375,0.0739509972887452,0.3098970473970474,0.09268868768754919,0.23736774921417236,0.011604136015779188
eucl_raw,knn,4,0.275,0.05590169943749473,0.23245663650075415,0.07593293504231906,0.2764127254486084,0.04750058019800256
sta,knn,4,0.375,0.16770509831248426,0.3628517316017316,0.16717198258653912,1645.7925556898117,110.66016715324793
wasps,knn,4,0.2375,0.17809758560968758,0.2262085137085137,0.17414074307659272,0.5179437398910522,0.1380374320940147
