k,gamma,seed,fold,f1,train_time,test_time,total_time,f1_class_0,f1_class_1,f1_class_4,f1_class_5
1,0.0001,42,,0.1,1.9073486328125e-06,0.8023455142974854,0.8023474216461182,0.4,0.0,0.0,0.0
1,0.0001,43,,0.1,1.6689300537109375e-06,0.7661018371582031,0.7661035060882568,0.4,0.0,0.0,0.0
1,0.0001,44,,0.1,1.1920928955078125e-06,0.797797679901123,0.7977988719940186,0.4,0.0,0.0,0.0
1,0.01,42,,0.420021645021645,1.430511474609375e-06,0.8057293891906738,0.8057308197021484,0.7714285714285715,0.19047619047619047,0.5,0.21818181818181817
1,0.01,43,,0.09898477157360407,1.9073486328125e-06,0.7869491577148438,0.7869510650634766,0.0,0.0,0.39593908629441626,0.0
1,0.01,44,,0.1,1.430511474609375e-06,0.7753398418426514,0.775341272354126,0.0,0.4,0.0,0.0
1,0.1,42,,0.423665466828683,1.1920928955078125e-06,0.8664650917053223,0.8664662837982178,0.7714285714285715,0.1935483870967742,0.5074626865671642,0.2222222222222222
1,0.1,43,,0.12591308654203293,3.0994415283203125e-06,0.8644058704376221,0.8644089698791504,0.04878048780487805,0.04878048780487805,0.40609137055837563,0.0
1,0.1,44,,0.1,2.384185791015625e-06,0.7916431427001953,0.7916455268859863,0.0,0.4,0.0,0.0
1,1.0,42,,0.43915610884301587,1.9073486328125e-06,0.862994909286499,0.8629968166351318,0.7941176470588235,0.22580645161290322,0.5185185185185185,0.21818181818181817
1,1.0,43,,0.501422268663648,1.6689300537109375e-06,0.7787420749664307,0.7787437438964844,0.8888888888888888,0.2413793103448276,0.5481481481481482,0.32727272727272727
1,1.0,44,,0.5909594823462487,2.1457672119140625e-06,0.8065416812896729,0.8065438270568848,0.9210526315789473,0.3157894736842105,0.576271186440678,0.5507246376811594
1,10.0,42,,0.42828282828282827,1.6689300537109375e-06,0.700491189956665,0.7004928588867188,0.7575757575757576,0.23333333333333334,0.5,0.2222222222222222
1,10.0,43,,0.4862036344950014,1.6689300537109375e-06,0.7119143009185791,0.7119159698486328,0.8571428571428571,0.25,0.5467625899280576,0.2909090909090909
1,10.0,44,,0.604162853638116,1.6689300537109375e-06,0.8073513507843018,0.8073530197143555,0.9090909090909091,0.3448275862068966,0.591304347826087,0.5714285714285714
1,100.0,42,,0.3897985844615002,1.6689300537109375e-06,0.770383358001709,0.7703850269317627,0.71875,0.2033898305084746,0.4861111111111111,0.1509433962264151
1,100.0,43,,0.45024933050143134,1.9073486328125e-06,0.7744207382202148,0.7744226455688477,0.8571428571428571,0.23076923076923078,0.5170068027210885,0.19607843137254902
1,100.0,44,,0.5264357864357864,1.9073486328125e-06,0.6868457794189453,0.6868476867675781,0.8831168831168831,0.21818181818181817,0.56,0.4444444444444444
1,10000.0,42,,0.37071193609022557,2.1457672119140625e-06,0.7268252372741699,0.7268273830413818,0.71875,0.17857142857142858,0.4605263157894737,0.125
1,10000.0,43,,0.4366751560413532,1.430511474609375e-06,0.7315709590911865,0.7315723896026611,0.8450704225352113,0.2857142857142857,0.527027027027027,0.08888888888888889
1,10000.0,44,,0.4871933621933621,1.430511474609375e-06,0.7549412250518799,0.7549426555633545,0.9090909090909091,0.19230769230769232,0.5396825396825397,0.3076923076923077
