k,gamma,f1_mean,f1_std,n_folds_ok,train_time_mean,test_time_mean,total_time_mean
1,0.0001,0.3430555555555555,0.12427257476815297,3,1.7484029134114583e-06,7.834245840708415,7.834247589111328
1,0.01,0.3430555555555555,0.12427257476815297,3,1.986821492513021e-06,7.861716667811076,7.861718654632568
1,0.1,0.3430555555555555,0.12427257476815297,3,1.1920928955078125e-06,7.98878288269043,7.988784074783325
1,1.0,0.31805555555555554,0.09624508966150229,3,1.7484029134114583e-06,7.958290417989095,7.958292166392009
1,10.0,0.27638888888888885,0.06721418684757144,3,2.2252400716145835e-06,7.887641429901123,7.887643655141194
1,100.0,0.3013888888888889,0.10994176348424053,3,1.9073486328125e-06,7.929596424102783,7.929598331451416
1,10000.0,0.3013888888888889,0.10994176348424053,3,1.1126200358072917e-06,7.087776343027751,7.087777455647786
