lr,gamma,seed,fold,f1,train_time,test_time,total_time,f1_class_0,f1_class_1,f1_class_4,f1_class_5
0.001,0.0001,42,,0.2660311046370281,1.9076154232025146,0.3252100944519043,2.232825517654419,0.4084507042253521,0.21875,0.14545454545454545,0.2909090909090909
0.001,0.0001,43,,0.28287586510801643,1.7787370681762695,0.3987276554107666,2.177464723587036,0.45925925925925926,0.26865671641791045,0.13333333333333333,0.2692307692307692
0.001,0.0001,44,,0.28964512260884706,1.8943185806274414,0.3404371738433838,2.234755754470825,0.3157894736842105,0.3119266055045872,0.17647058823529413,0.358974358974359
0.001,0.01,42,,0.2660311046370281,1.8663315773010254,0.3166475296020508,2.182979106903076,0.4084507042253521,0.21875,0.14545454545454545,0.2909090909090909
0.001,0.01,43,,0.28287586510801643,1.8943743705749512,0.3190345764160156,2.213408946990967,0.45925925925925926,0.26865671641791045,0.13333333333333333,0.2692307692307692
0.001,0.01,44,,0.28964512260884706,1.8394396305084229,0.3315882682800293,2.171027898788452,0.3157894736842105,0.3119266055045872,0.17647058823529413,0.358974358974359
0.001,0.1,42,,0.2660311046370281,1.933718204498291,0.3552818298339844,2.2890000343322754,0.4084507042253521,0.21875,0.14545454545454545,0.2909090909090909
0.001,0.1,43,,0.28287586510801643,1.853532075881958,0.3392183780670166,2.1927504539489746,0.45925925925925926,0.26865671641791045,0.13333333333333333,0.2692307692307692
0.001,0.1,44,,0.28964512260884706,1.805833101272583,0.3779444694519043,2.1837775707244873,0.3157894736842105,0.3119266055045872,0.17647058823529413,0.358974358974359
0.001,1.0,42,,0.2660311046370281,1.8098556995391846,0.319871187210083,2.1297268867492676,0.4084507042253521,0.21875,0.14545454545454545,0.2909090909090909
0.001,1.0,43,,0.28287586510801643,1.7236518859863281,0.43007516860961914,2.1537270545959473,0.45925925925925926,0.26865671641791045,0.13333333333333333,0.2692307692307692
0.001,1.0,44,,0.28964512260884706,1.6653342247009277,0.3801083564758301,2.045442581176758,0.3157894736842105,0.3119266055045872,0.17647058823529413,0.358974358974359
0.001,10.0,42,,0.2660311046370281,1.41959547996521,0.26618361473083496,1.685779094696045,0.4084507042253521,0.21875,0.14545454545454545,0.2909090909090909
0.001,10.0,43,,0.28287586510801643,1.1926846504211426,0.479841947555542,1.6725265979766846,0.45925925925925926,0.26865671641791045,0.13333333333333333,0.2692307692307692
0.001,10.0,44,,0.2937527152168372,1.1650340557098389,0.406109094619751,1.5711431503295898,0.3157894736842105,0.3333333333333333,0.17647058823529413,0.35443037974683544
0.001,100.0,42,,0.2758437281775889,1.4065351486206055,0.3084416389465332,1.7149767875671387,0.40559440559440557,0.21875,0.18181818181818182,0.2962962962962963
0.001,100.0,43,,0.2648521768858067,1.2725186347961426,0.44641757011413574,1.7189362049102783,0.45255474452554745,0.26865671641791045,0.13333333333333333,0.2
0.001,100.0,44,,0.29746332099273276,1.0504374504089355,0.2640972137451172,1.3145346641540527,0.32727272727272727,0.26666666666666666,0.17647058823529413,0.42424242424242425
0.001,10000.0,42,,0.251290776280568,1.325345516204834,0.28195667266845703,1.607302188873291,0.4129032258064516,0.18518518518518517,0.22580645161290322,0.17777777777777778
0.001,10000.0,43,,0.2891176982860844,1.3080813884735107,0.3074662685394287,1.6155476570129395,0.44755244755244755,0.3492063492063492,0.3380281690140845,0.0
0.001,10000.0,44,,0.3138164678259018,1.2063767910003662,0.2845427989959717,1.490919589996338,0.33962264150943394,0.275,0.2972972972972973,0.34285714285714286
