k,gamma,seed,fold,f1,train_time,test_time,total_time,f1_class_0,f1_class_1,f1_class_4,f1_class_5
1,0.0001,42,,0.6390460584457746,0.1195230484008789,1.170501470565796,1.2900245189666748,0.8860759493670886,0.4117647058823529,0.651685393258427,0.6
1,0.0001,43,,0.5981082610941922,0.2462759017944336,1.4676458835601807,1.7139217853546143,0.8493150684931506,0.44155844155844154,0.611764705882353,0.4810126582278481
1,0.0001,44,,0.6670891392294411,0.13580703735351562,1.2884438037872314,1.424250841140747,0.8461538461538461,0.5333333333333333,0.7045454545454546,0.5753424657534246
1,0.01,42,,0.65281605870877,0.21433615684509277,1.4185969829559326,1.6329331398010254,0.8888888888888888,0.4375,0.6881720430107527,0.5897435897435898
1,0.01,43,,0.5877071709540973,0.15388131141662598,1.493147373199463,1.6470286846160889,0.8611111111111112,0.425,0.5581395348837209,0.5
1,0.01,44,,0.6429675789336087,0.13297080993652344,1.2931232452392578,1.4260940551757812,0.8641975308641975,0.5066666666666667,0.7045454545454546,0.4857142857142857
1,0.1,42,,0.5878847163453125,0.12519240379333496,1.2552087306976318,1.3804011344909668,0.875,0.3870967741935484,0.5961538461538461,0.4857142857142857
1,0.1,43,,0.5322702084664297,0.11041140556335449,1.3574810028076172,1.4678924083709717,0.8115942028985508,0.37333333333333335,0.4752475247524752,0.463768115942029
1,0.1,44,,0.6290698184433572,0.2655777931213379,1.2479383945465088,1.5135161876678467,0.8860759493670886,0.45714285714285713,0.6464646464646465,0.5151515151515151
1,1.0,42,,0.5305516334232822,0.19350981712341309,1.4755809307098389,1.669090747833252,0.8157894736842105,0.3384615384615385,0.5128205128205128,0.4482758620689655
1,1.0,43,,0.5016691733093531,0.18336105346679688,1.5213961601257324,1.7047572135925293,0.7761194029850746,0.4155844155844156,0.43243243243243246,0.3728813559322034
1,1.0,44,,0.560599600090046,0.1413724422454834,1.304612636566162,1.4459850788116455,0.8717948717948718,0.4,0.5585585585585585,0.4
1,10.0,42,,0.49181632693488636,0.09773468971252441,1.1503844261169434,1.2481191158294678,0.7605633802816901,0.3333333333333333,0.496,0.37037037037037035
1,10.0,43,,0.4766938188291,0.1394805908203125,1.246767282485962,1.3862478733062744,0.7575757575757576,0.37142857142857144,0.41379310344827586,0.3548387096774194
1,10.0,44,,0.5265157640793491,0.12313556671142578,1.3018784523010254,1.4250140190124512,0.8311688311688312,0.34782608695652173,0.543859649122807,0.37037037037037035
1,100.0,42,,0.4647281155286147,0.14719939231872559,1.1824846267700195,1.3296840190887451,0.7605633802816901,0.30985915492957744,0.5,0.28
1,100.0,43,,0.4547292763853274,0.2013092041015625,1.3849194049835205,1.586228609085083,0.7272727272727273,0.3492063492063492,0.4,0.3333333333333333
1,100.0,44,,0.5356502582959753,0.14023876190185547,1.2930490970611572,1.4332878589630127,0.8421052631578947,0.34782608695652173,0.5535714285714286,0.38596491228070173
1,10000.0,42,,0.4629222286284595,0.21369576454162598,1.3545176982879639,1.5682134628295898,0.7560975609756098,0.3013698630136986,0.4727272727272727,0.3137254901960784
1,10000.0,43,,0.4040113027302948,0.09741353988647461,1.3873324394226074,1.484745979309082,0.684931506849315,0.27586206896551724,0.3937007874015748,0.25
1,10000.0,44,,0.4770139548251113,0.07805705070495605,1.1577191352844238,1.2357761859893799,0.7272727272727273,0.30303030303030304,0.44660194174757284,0.42105263157894735
