lr,gamma,seed,fold,f1,train_time,test_time,total_time,f1_class_0,f1_class_1,f1_class_4,f1_class_5
0.001,0.0001,42,,0.48369223242640974,6.60059928894043,0.7602574825286865,7.360856771469116,0.7567567567567568,0.3,0.3492063492063492,0.5252525252525253
0.001,0.0001,43,,0.45846154915594783,8.053805589675903,0.5274848937988281,8.581290483474731,0.6129032258064516,0.3409090909090909,0.4444444444444444,0.43373493975903615
0.001,0.0001,44,,0.3794999423196748,7.758316993713379,0.7834935188293457,8.541810512542725,0.5614035087719298,0.08888888888888889,0.5436893203883495,0.3076923076923077
0.001,0.01,42,,0.4750202955304032,6.809607982635498,0.6785562038421631,7.488164186477661,0.72,0.29333333333333333,0.3582089552238806,0.5252525252525253
0.001,0.01,43,,0.46983608481799477,6.884031295776367,0.6074235439300537,7.491454839706421,0.6461538461538462,0.3333333333333333,0.4634146341463415,0.43373493975903615
0.001,0.01,44,,0.3547864282664514,7.892626523971558,0.5804669857025146,8.473093509674072,0.5289256198347108,0.08888888888888889,0.4791666666666667,0.3076923076923077
0.001,0.1,42,,0.45279465603672625,6.8307342529296875,0.5455996990203857,7.376333951950073,0.6756756756756757,0.25,0.34782608695652173,0.5346534653465347
0.001,0.1,43,,0.47774443006968215,6.798349142074585,0.7819654941558838,7.580314636230469,0.6666666666666666,0.34146341463414637,0.47058823529411764,0.42857142857142855
0.001,0.1,44,,0.36119094827838316,7.917311668395996,0.588186502456665,8.505498170852661,0.512396694214876,0.08888888888888889,0.5208333333333334,0.3076923076923077
0.001,1.0,42,,0.4519653357541652,5.247736692428589,0.5665066242218018,5.814243316650391,0.7246376811594203,0.1875,0.34285714285714286,0.5486725663716814
0.001,1.0,43,,0.4816810931460612,6.775922775268555,0.5818428993225098,7.3577656745910645,0.6461538461538462,0.38095238095238093,0.4523809523809524,0.4444444444444444
0.001,1.0,44,,0.35917561354804,5.8825907707214355,0.6710419654846191,6.553632736206055,0.5161290322580645,0.09302325581395349,0.5052631578947369,0.3076923076923077
0.001,10.0,42,,0.4877686004268283,3.7164127826690674,0.8473281860351562,4.563740968704224,0.8266666666666667,0.2,0.34285714285714286,0.5765765765765766
0.001,10.0,43,,0.4420716027040038,3.691725730895996,0.657360315322876,4.349086046218872,0.5901639344262295,0.24242424242424243,0.4578313253012048,0.4807692307692308
0.001,10.0,44,,0.3506427263651534,4.572572231292725,0.5156021118164062,5.088174343109131,0.5112781954887218,0.05,0.5054945054945055,0.32
0.001,100.0,42,,0.47896731745691196,2.3274996280670166,0.611403226852417,2.9389028549194336,0.8266666666666667,0.1694915254237288,0.34285714285714286,0.5714285714285714
0.001,100.0,43,,0.4409727526786948,2.3724637031555176,0.5963082313537598,2.9687719345092773,0.576271186440678,0.22580645161290322,0.4578313253012048,0.509090909090909
0.001,100.0,44,,0.47993396792414517,3.3990378379821777,0.49416446685791016,3.893202304840088,0.676923076923077,0.4444444444444444,0.5060240963855421,0.2857142857142857
0.001,10000.0,42,,0.47896731745691196,2.4019827842712402,0.6308732032775879,3.032855987548828,0.8266666666666667,0.1694915254237288,0.34285714285714286,0.5714285714285714
0.001,10000.0,43,,0.4409727526786948,2.3493192195892334,0.7439897060394287,3.093308925628662,0.576271186440678,0.22580645161290322,0.4578313253012048,0.509090909090909
0.001,10000.0,44,,0.4281746496546023,1.9653730392456055,0.4925365447998047,2.45790958404541,0.49122807017543857,0.24561403508771928,0.5060240963855421,0.46153846153846156
