k,gamma,f1_mean,f1_std,n_folds_ok,train_time_mean,test_time_mean,total_time_mean
1,0.0001,0.10000000000000002,1.3877787807814457e-17,3,1.0410944620768229e-05,2.628240426381429,2.62825083732605
1,0.01,0.09378827104391015,0.0012063609970950988,3,4.291534423828125e-06,2.487276315689087,2.4872806072235107
1,0.1,0.21640056854960196,0.1653336571157249,3,8.265177408854166e-06,2.5322066148122153,2.532214879989624
1,1.0,0.49746438816394795,0.04100102747945748,3,4.3710072835286456e-06,2.5848731994628906,2.5848775704701743
1,10.0,0.4954273643774811,0.042365109758376894,3,3.735224405924479e-06,2.244868278503418,2.2448720137278237
1,100.0,0.48629564397809594,0.05299635607186832,3,4.450480143229167e-06,2.2722882429758706,2.272292693456014
1,10000.0,0.4026827297089078,0.035688249422564176,3,5.086263020833333e-06,2.3073505560557046,2.3073556423187256
