lr,gamma,seed,fold,f1,train_time,test_time,total_time,f1_class_0,f1_class_1,f1_class_4,f1_class_5
0.001,0.0001,42,,0.27168406453350735,11.68940258026123,0.8321707248687744,12.521573305130005,0.44594594594594594,0.1509433962264151,0.13793103448275862,0.3508771929824561
0.001,0.0001,43,,0.34769368997924555,11.751409530639648,0.5873448848724365,12.338754415512085,0.4788732394366197,0.3333333333333333,0.26229508196721313,0.3137254901960784
0.001,0.0001,44,,0.2470210034038113,11.247973442077637,0.802710771560669,12.050684213638306,0.375,0.3382352941176471,0.15384615384615385,0.12244897959183673
0.001,0.01,42,,0.27168406453350735,11.862492084503174,0.6086785793304443,12.471170663833618,0.44594594594594594,0.1509433962264151,0.13793103448275862,0.3508771929824561
0.001,0.01,43,,0.34769368997924555,11.864212274551392,0.6258354187011719,12.490047693252563,0.4788732394366197,0.3333333333333333,0.26229508196721313,0.3137254901960784
0.001,0.01,44,,0.2470210034038113,11.290862798690796,0.5614175796508789,11.852280378341675,0.375,0.3382352941176471,0.15384615384615385,0.12244897959183673
0.001,0.1,42,,0.27168406453350735,11.845426321029663,0.613842248916626,12.459268569946289,0.44594594594594594,0.1509433962264151,0.13793103448275862,0.3508771929824561
0.001,0.1,43,,0.34769368997924555,12.027217626571655,0.6722948551177979,12.699512481689453,0.4788732394366197,0.3333333333333333,0.26229508196721313,0.3137254901960784
0.001,0.1,44,,0.2470210034038113,11.672441244125366,0.6085984706878662,12.281039714813232,0.375,0.3382352941176471,0.15384615384615385,0.12244897959183673
0.001,1.0,42,,0.27168406453350735,10.48611044883728,0.6876468658447266,11.173757314682007,0.44594594594594594,0.1509433962264151,0.13793103448275862,0.3508771929824561
0.001,1.0,43,,0.34769368997924555,10.785531759262085,0.7052123546600342,11.49074411392212,0.4788732394366197,0.3333333333333333,0.26229508196721313,0.3137254901960784
0.001,1.0,44,,0.2470210034038113,10.255617618560791,0.6543705463409424,10.909988164901733,0.375,0.3382352941176471,0.15384615384615385,0.12244897959183673
0.001,10.0,42,,0.2794188776292661,11.684093236923218,0.5807812213897705,12.264874458312988,0.44594594594594594,0.15384615384615385,0.13793103448275862,0.3793103448275862
0.001,10.0,43,,0.35151759692786294,11.056254386901855,0.6409494876861572,11.697203874588013,0.48951048951048953,0.3333333333333333,0.26666666666666666,0.3137254901960784
0.001,10.0,44,,0.2665330006164239,11.02929425239563,0.6716644763946533,11.700958728790283,0.375,0.34328358208955223,0.15384615384615385,0.19607843137254902
0.001,100.0,42,,0.26846379028641215,11.808607816696167,0.6274900436401367,12.436097860336304,0.4503311258278146,0.1509433962264151,0.13793103448275862,0.3333333333333333
0.001,100.0,43,,0.3685228968496273,11.303466081619263,0.6028320789337158,11.906298160552979,0.49295774647887325,0.3548387096774194,0.2903225806451613,0.3333333333333333
0.001,100.0,44,,0.29673433647417385,11.04757285118103,0.7114689350128174,11.759041786193848,0.3880597014925373,0.3816793893129771,0.18461538461538463,0.23529411764705882
0.001,10000.0,42,,0.1861168429739888,12.267680406570435,0.612046480178833,12.879726886749268,0.39751552795031053,0.1509433962264151,0.19047619047619047,0.0
0.001,10000.0,43,,0.3077623013928747,11.328586339950562,0.6053509712219238,11.933937311172485,0.46153846153846156,0.375,0.37142857142857144,0.0
0.001,10000.0,44,,0.2435062506524368,10.893074035644531,0.5381450653076172,11.431219100952148,0.2962962962962963,0.38095238095238093,0.25,0.04878048780487805
