k,gamma,seed,fold,f1,train_time,test_time,total_time,f1_class_0,f1_class_1,f1_class_4,f1_class_5
1,0.0001,42,,0.5199403743707541,0.04781651496887207,1.073814868927002,1.121631383895874,0.8571428571428571,0.28205128205128205,0.5,0.43243243243243246
1,0.0001,43,,0.6233272827733927,0.04797625541687012,1.2336602210998535,1.2816364765167236,0.8169014084507042,0.5135135135135135,0.5842696629213483,0.575
1,0.0001,44,,0.6063378481983134,0.04987931251525879,1.10414719581604,1.1540265083312988,0.8372093023255814,0.42857142857142855,0.6046511627906976,0.5428571428571428
1,0.01,42,,0.5582872843459821,0.0478358268737793,1.1282601356506348,1.176095962524414,0.8470588235294118,0.3380281690140845,0.5681818181818182,0.4722222222222222
1,0.01,43,,0.6526926356507673,0.053516387939453125,1.2053625583648682,1.2588789463043213,0.8493150684931506,0.5066666666666667,0.6292134831460674,0.6233766233766234
1,0.01,44,,0.5963529956633404,0.04839515686035156,1.138612985610962,1.1870081424713135,0.8275862068965517,0.4266666666666667,0.55,0.5714285714285714
1,0.1,42,,0.542427684538354,0.04806685447692871,1.0821843147277832,1.130251169204712,0.8292682926829268,0.2898550724637681,0.5161290322580645,0.5277777777777778
1,0.1,43,,0.5816472031893128,0.048552513122558594,1.1638588905334473,1.2124114036560059,0.8108108108108109,0.3888888888888889,0.5360824742268041,0.5915492957746479
1,0.1,44,,0.5507558216588316,0.050292015075683594,1.0873546600341797,1.1376466751098633,0.8181818181818182,0.37681159420289856,0.5333333333333333,0.46153846153846156
1,1.0,42,,0.4862800138621634,0.04644584655761719,1.1701807975769043,1.2166266441345215,0.810126582278481,0.21875,0.44036697247706424,0.46875
1,1.0,43,,0.49513430603886777,0.04901909828186035,1.2575523853302002,1.3065714836120605,0.7466666666666667,0.3283582089552239,0.4915254237288136,0.4074074074074074
1,1.0,44,,0.49178541615879556,0.04617118835449219,1.0922801494598389,1.138451337814331,0.8089887640449438,0.3076923076923077,0.5,0.3333333333333333
1,10.0,42,,0.4786947581351655,0.047579288482666016,0.7476644515991211,0.7952437400817871,0.7948717948717948,0.22580645161290322,0.4424778761061947,0.4444444444444444
1,10.0,43,,0.47620033518966715,0.05249142646789551,0.8721823692321777,0.9246737957000732,0.7297297297297297,0.3333333333333333,0.4297520661157025,0.4067796610169492
1,10.0,44,,0.48104811871041886,0.049509286880493164,0.7782094478607178,0.8277187347412109,0.8048780487804879,0.3235294117647059,0.47706422018348627,0.3018867924528302
1,100.0,42,,0.4779929420070601,0.047512054443359375,0.7606191635131836,0.808131217956543,0.7792207792207793,0.25,0.4247787610619469,0.45161290322580644
1,100.0,43,,0.4537465130525048,0.05310416221618652,0.9361965656280518,0.9893007278442383,0.7123287671232876,0.27586206896551724,0.42276422764227645,0.4
1,100.0,44,,0.4902565527956397,0.04960966110229492,0.8191165924072266,0.8687262535095215,0.8048780487804879,0.3076923076923077,0.48148148148148145,0.3508771929824561
1,10000.0,42,,0.48768498198662164,0.04630565643310547,0.7192943096160889,0.7655999660491943,0.759493670886076,0.35294117647058826,0.44642857142857145,0.38596491228070173
1,10000.0,43,,0.38515771365156626,0.04915738105773926,0.9050705432891846,0.9542279243469238,0.6172839506172839,0.1568627450980392,0.3548387096774194,0.41379310344827586
1,10000.0,44,,0.47353607270883163,0.04619145393371582,0.7900404930114746,0.8362319469451904,0.7294117647058823,0.2711864406779661,0.48598130841121495,0.39344262295081966
