k,gamma,seed,fold,f1,train_time,test_time,total_time,f1_class_0,f1_class_1,f1_class_4,f1_class_5
1,0.0001,42,,0.35,1.9073486328125e-06,8.109249353408813,8.109251260757446,0.6666666666666666,0.0,0.4,0.3333333333333333
1,0.0001,43,,0.49166666666666664,1.430511474609375e-06,7.631993770599365,7.63199520111084,0.5,0.0,0.6666666666666666,0.8
1,0.0001,44,,0.1875,1.9073486328125e-06,7.761494398117065,7.761496305465698,0.5,0.0,0.25,0.0
1,0.01,42,,0.35,2.1457672119140625e-06,8.135623216629028,8.13562536239624,0.6666666666666666,0.0,0.4,0.3333333333333333
1,0.01,43,,0.49166666666666664,1.9073486328125e-06,7.645835876464844,7.645837783813477,0.5,0.0,0.6666666666666666,0.8
1,0.01,44,,0.1875,1.9073486328125e-06,7.8036909103393555,7.803692817687988,0.5,0.0,0.25,0.0
1,0.1,42,,0.35,1.1920928955078125e-06,7.807384729385376,7.8073859214782715,0.6666666666666666,0.0,0.4,0.3333333333333333
1,0.1,43,,0.49166666666666664,9.5367431640625e-07,7.941650867462158,7.941651821136475,0.5,0.0,0.6666666666666666,0.8
1,0.1,44,,0.1875,1.430511474609375e-06,8.217313051223755,8.21731448173523,0.5,0.0,0.25,0.0
1,1.0,42,,0.35,1.9073486328125e-06,7.750950813293457,7.75095272064209,0.6666666666666666,0.0,0.4,0.3333333333333333
1,1.0,43,,0.41666666666666663,1.430511474609375e-06,7.887477874755859,7.887479305267334,0.5,0.0,0.6666666666666666,0.5
1,1.0,44,,0.1875,1.9073486328125e-06,8.236442565917969,8.236444473266602,0.5,0.0,0.25,0.0
1,10.0,42,,0.35,2.384185791015625e-06,8.118040561676025,8.118042945861816,0.6666666666666666,0.0,0.4,0.3333333333333333
1,10.0,43,,0.29166666666666663,2.384185791015625e-06,7.588726758956909,7.5887291431427,0.6666666666666666,0.0,0.5,0.0
1,10.0,44,,0.1875,1.9073486328125e-06,7.956156969070435,7.956158876419067,0.5,0.0,0.25,0.0
1,100.0,42,,0.44999999999999996,1.9073486328125e-06,8.216408729553223,8.216410636901855,1.0,0.0,0.4,0.4
1,100.0,43,,0.26666666666666666,2.1457672119140625e-06,7.587661504745483,7.587663650512695,0.6666666666666666,0.0,0.4,0.0
1,100.0,44,,0.1875,1.6689300537109375e-06,7.9847190380096436,7.984720706939697,0.5,0.0,0.25,0.0
1,10000.0,42,,0.44999999999999996,9.5367431640625e-07,7.054993629455566,7.054994583129883,1.0,0.0,0.4,0.4
1,10000.0,43,,0.26666666666666666,1.1920928955078125e-06,6.993490695953369,6.993491888046265,0.6666666666666666,0.0,0.4,0.0
1,10000.0,44,,0.1875,1.1920928955078125e-06,7.214844703674316,7.214845895767212,0.5,0.0,0.25,0.0
