k,gamma,seed,fold,f1,train_time,test_time,total_time,f1_class_0,f1_class_1,f1_class_4,f1_class_5
1,0.0001,42,,0.10280794191351281,0.05106210708618164,0.7669837474822998,0.8180458545684814,0.40609137055837563,0.0,0.0,0.0
1,0.0001,43,,0.10346276956901289,0.05352306365966797,0.8468079566955566,0.9003310203552246,0.40609137055837563,0.0,0.0,0.0
1,0.0001,44,,0.10465724751439037,0.06034994125366211,0.7496805191040039,0.810030460357666,0.40816326530612246,0.0,0.0,0.0
1,0.01,42,,0.2301326950626227,0.048358917236328125,0.7107164859771729,0.759075403213501,0.21818181818181817,0.3875,0.15384615384615385,0.16326530612244897
1,0.01,43,,0.40744528591065804,0.04955649375915527,0.7847175598144531,0.8342740535736084,0.3157894736842105,0.3870967741935484,0.45454545454545453,0.47761194029850745
1,0.01,44,,0.3740936911487759,0.04955291748046875,0.7653870582580566,0.8149399757385254,0.4,0.23728813559322035,0.421875,0.43333333333333335
1,0.1,42,,0.43599973893757127,0.050981998443603516,0.6970841884613037,0.7480661869049072,0.5652173913043478,0.3684210526315789,0.43037974683544306,0.37681159420289856
1,0.1,43,,0.507316348376307,0.05235624313354492,0.8061285018920898,0.8584847450256348,0.6329113924050633,0.42424242424242425,0.4772727272727273,0.49382716049382713
1,0.1,44,,0.4782028564861585,0.05253720283508301,0.7958192825317383,0.8483564853668213,0.6097560975609756,0.3611111111111111,0.425,0.5128205128205128
1,1.0,42,,0.4501398445060416,0.05080842971801758,0.7094838619232178,0.7602922916412354,0.5777777777777777,0.38961038961038963,0.4358974358974359,0.39436619718309857
1,1.0,43,,0.49789856465660715,0.052391767501831055,0.8167679309844971,0.8691596984863281,0.65,0.36923076923076925,0.4666666666666667,0.5063291139240507
1,1.0,44,,0.45059638223795584,0.06659889221191406,0.745490550994873,0.8120894432067871,0.5747126436781609,0.3380281690140845,0.425,0.4594594594594595
1,10.0,42,,0.46318401892105443,0.04659891128540039,0.6780335903167725,0.7246325016021729,0.6451612903225806,0.38961038961038963,0.45,0.36363636363636365
1,10.0,43,,0.5197769075888281,0.04960942268371582,0.7765688896179199,0.8261783123016357,0.6741573033707865,0.41935483870967744,0.45977011494252873,0.5263157894736842
1,10.0,44,,0.4503989493781245,0.046845436096191406,0.6944162845611572,0.7412617206573486,0.6236559139784946,0.3333333333333333,0.379746835443038,0.4594594594594595
1,100.0,42,,0.4977639280989531,0.048635244369506836,0.7064459323883057,0.7550811767578125,0.673469387755102,0.4,0.49382716049382713,0.41935483870967744
1,100.0,43,,0.5479684033927029,0.06275272369384766,0.7715551853179932,0.8343079090118408,0.7586206896551724,0.3448275862068966,0.5555555555555556,0.5316455696202531
1,100.0,44,,0.4409109367860762,0.053728580474853516,0.7040176391601562,0.7577462196350098,0.6373626373626373,0.14814814814814814,0.43478260869565216,0.5333333333333333
1,10000.0,42,,0.42979939879497114,0.0518338680267334,0.7114887237548828,0.7633225917816162,0.6732673267326733,0.26865671641791045,0.5,0.2692307692307692
1,10000.0,43,,0.4163223358913386,0.06392765045166016,0.7497680187225342,0.8136956691741943,0.7073170731707317,0.29508196721311475,0.453781512605042,0.19230769230769232
1,10000.0,44,,0.455146779447945,0.05273008346557617,0.687666654586792,0.7403967380523682,0.6736842105263158,0.1568627450980392,0.45544554455445546,0.5230769230769231
