lr,gamma,seed,fold,f1,train_time,test_time,total_time,f1_class_0,f1_class_1,f1_class_4,f1_class_5
0.001,0.0001,42,,0.3578797941463976,19.9513680934906,0.7880513668060303,20.73941946029663,0.43137254901960786,0.2727272727272727,0.4774193548387097,0.25
0.001,0.0001,43,,0.27025673283011836,24.87656331062317,0.7045831680297852,25.581146478652954,0.5,0.12244897959183673,0.047619047619047616,0.410958904109589
0.001,0.0001,44,,0.3291098115659519,19.25012707710266,0.7220122814178467,19.972139358520508,0.5263157894736842,0.0,0.4567901234567901,0.3333333333333333
0.001,0.01,42,,0.3578797941463976,19.934476375579834,0.7197232246398926,20.654199600219727,0.43137254901960786,0.2727272727272727,0.4774193548387097,0.25
0.001,0.01,43,,0.27025673283011836,25.262935876846313,0.7174050807952881,25.9803409576416,0.5,0.12244897959183673,0.047619047619047616,0.410958904109589
0.001,0.01,44,,0.3291098115659519,19.273776054382324,0.7713820934295654,20.04515814781189,0.5263157894736842,0.0,0.4567901234567901,0.3333333333333333
0.001,0.1,42,,0.3578797941463976,19.94438672065735,0.7635636329650879,20.707950353622437,0.43137254901960786,0.2727272727272727,0.4774193548387097,0.25
0.001,0.1,43,,0.27025673283011836,24.254520893096924,0.7543919086456299,25.008912801742554,0.5,0.12244897959183673,0.047619047619047616,0.410958904109589
0.001,0.1,44,,0.3291098115659519,18.8196222782135,0.7035684585571289,19.52319073677063,0.5263157894736842,0.0,0.4567901234567901,0.3333333333333333
0.001,1.0,42,,0.3578797941463976,19.40463161468506,0.8363573551177979,20.240988969802856,0.43137254901960786,0.2727272727272727,0.4774193548387097,0.25
0.001,1.0,43,,0.27025673283011836,22.876985549926758,0.6685924530029297,23.545578002929688,0.5,0.12244897959183673,0.047619047619047616,0.410958904109589
0.001,1.0,44,,0.3291098115659519,17.61156678199768,0.7067904472351074,18.318357229232788,0.5263157894736842,0.0,0.4567901234567901,0.3333333333333333
0.001,10.0,42,,0.3578797941463976,17.845566511154175,0.6110491752624512,18.456615686416626,0.43137254901960786,0.2727272727272727,0.4774193548387097,0.25
0.001,10.0,43,,0.27025673283011836,22.781797885894775,0.6770823001861572,23.458880186080933,0.5,0.12244897959183673,0.047619047619047616,0.410958904109589
0.001,10.0,44,,0.3291098115659519,18.33777666091919,0.5845184326171875,18.922295093536377,0.5263157894736842,0.0,0.4567901234567901,0.3333333333333333
0.001,100.0,42,,0.34927156177156177,18.036260843276978,0.6185669898986816,18.65482783317566,0.4,0.2727272727272727,0.47435897435897434,0.25
0.001,100.0,43,,0.27025673283011836,22.654393434524536,0.649284839630127,23.303678274154663,0.5,0.12244897959183673,0.047619047619047616,0.410958904109589
0.001,100.0,44,,0.3291098115659519,18.2276508808136,0.596350908279419,18.824001789093018,0.5263157894736842,0.0,0.4567901234567901,0.3333333333333333
0.001,10000.0,42,,0.3122148812332861,22.77618432044983,0.6217710971832275,23.397955417633057,0.46153846153846156,0.2857142857142857,0.4539877300613497,0.047619047619047616
0.001,10000.0,43,,0.26765787933546076,22.47839069366455,0.6695213317871094,23.14791202545166,0.4968152866242038,0.16,0.047619047619047616,0.36619718309859156
0.001,10000.0,44,,0.31566512583461737,21.88348627090454,0.5501651763916016,22.433651447296143,0.509090909090909,0.0,0.4484848484848485,0.3050847457627119
