k,gamma,f1_mean,f1_std,n_folds_ok,train_time_mean,test_time_mean,total_time_mean
1,0.0001,0.5832018351141534,0.0452671296000141,3,0.04855736096700033,1.1372074286142986,1.1857647895812988
1,0.01,0.60244430522003,0.03878075663548904,3,0.04991579055786133,1.1574118932088215,1.2073276837666829
1,0.1,0.5582769031288328,0.016871428721599597,3,0.04897046089172363,1.1111326217651367,1.1601030826568604
1,1.0,0.4910665786866089,0.0036503121301405426,3,0.04721204439798991,1.1733377774556477,1.2205498218536377
1,10.0,0.47864773734508387,0.0019793786031720322,3,0.04986000061035156,0.7993520895640055,0.8492120901743571
1,100.0,0.4739986692850682,0.015170396862410658,3,0.05007529258728027,0.8386441071828207,0.888719399770101
1,10000.0,0.4487929227823398,0.04536612384643965,3,0.04721816380818685,0.8048017819722494,0.8520199457804362
