method,mode,k,n_seeds,acc_mean,acc_std,f1_mean,f1_std,time_mean,time_std
eucl_params,barycenter,,1,0.4375,0.0,0.39,0.0,600.9128386974335,0.0
eucl_params,knn,1,1,0.7,0.0,0.6946364121394721,0.0,33.62832832336426,0.0
eucl_raw,barycenter,,1,0.35,0.0,0.2752849002849003,0.0,635.840231180191,0.0
eucl_raw,knn,1,1,0.6125,0.0,0.6008918617614271,0.0,35.617156744003296,0.0
wasps,barycenter,,1,0.3625,0.0,0.29624733589087804,0.0,634.7263784408569,0.0
wasps,knn,1,1,0.75,0.0,0.7470181905803006,0.0,34.75787949562073,0.0
