method,gamma,mode,seed,f1,train_time,test_time,total_time,rss_mb,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,f1_class_6
wasps,0.01,knn,42,0.6778614117094618,0.06153130531311035,1.5589947700500488,1.6205260753631592,1809.7,0.6391752577319587,0.9230769230769231,0.4375,0.5555555555555556,0.0,0.6666666666666666,0.8695652173913043
wasps,0.01,knn,43,0.6452451413803161,0.0653831958770752,1.5989108085632324,1.6642940044403076,1809.7,0.5783132530120482,0.6,0.45,0.6341463414634146,0.0,0.6666666666666666,0.8376068376068376
wasps,0.01,knn,44,0.6961953392748592,0.0642094612121582,1.5574350357055664,1.6216444969177246,1809.7,0.6274509803921569,0.7,0.47058823529411764,0.6575342465753424,0.5,0.6666666666666666,0.8947368421052632
wasps,0.01,knn,45,0.6436799902183583,0.06629204750061035,1.5321245193481445,1.5984165668487549,1809.7,0.6875,0.41379310344827586,0.2702702702702703,0.5352112676056338,0.0,1.0,0.9090909090909091
wasps,0.01,knn,46,0.6968165866850078,0.058144569396972656,0.993161678314209,1.0513062477111816,1809.7,0.7291666666666666,0.6666666666666666,0.5263157894736842,0.6216216216216216,0.0,0.0,0.8547008547008547
wasps_nodiv,0.01,knn,42,0.610510353357644,0.06605362892150879,1.1534571647644043,1.219510793685913,1871.8,0.6785714285714286,0.6896551724137931,0.41379310344827586,0.2909090909090909,0.0,0.6666666666666666,0.8571428571428571
wasps_nodiv,0.01,knn,43,0.6094764315493669,0.07024383544921875,1.1333694458007812,1.20361328125,1871.8,0.5806451612903226,0.5454545454545454,0.46511627906976744,0.47761194029850745,0.0,0.6666666666666666,0.8305084745762712
wasps_nodiv,0.01,knn,44,0.626928335784843,0.0682528018951416,1.1972901821136475,1.265542984008789,1871.8,0.6730769230769231,0.4444444444444444,0.27586206896551724,0.6,0.0,0.6666666666666666,0.8225806451612904
wasps_nodiv,0.01,knn,45,0.552694317311397,0.07058024406433105,1.1502718925476074,1.2208521366119385,1871.8,0.6,0.47058823529411764,0.06451612903225806,0.42857142857142855,0.0,1.0,0.8305084745762712
wasps_nodiv,0.01,knn,46,0.6114759065888133,0.05824565887451172,0.6073462963104248,0.6655919551849365,1871.8,0.717391304347826,0.42105263157894735,0.21428571428571427,0.631578947368421,0.0,0.0,0.7633587786259542
eucl_params,0.01,knn,42,0.3210299841958964,0.06807184219360352,1.287397861480713,1.3554697036743164,1869.2,0.3958333333333333,0.2857142857142857,0.15,0.11320754716981132,0.0,0.0,0.5038167938931297
eucl_params,0.01,knn,43,0.387196042053185,0.06403279304504395,1.2617039680480957,1.3257367610931396,1869.2,0.2857142857142857,0.18181818181818182,0.2,0.36363636363636365,0.0,0.6666666666666666,0.6386554621848739
eucl_params,0.01,knn,44,0.3759759208031038,0.07146763801574707,1.2879135608673096,1.3593811988830566,1869.2,0.32941176470588235,0.2608695652173913,0.17647058823529413,0.2777777777777778,0.0,0.0,0.6349206349206349
eucl_params,0.01,knn,45,0.3186951293950416,0.06874465942382812,1.2517523765563965,1.3204970359802246,1869.2,0.29333333333333333,0.24,0.13636363636363635,0.17647058823529413,0.0,0.0,0.5671641791044776
eucl_params,0.01,knn,46,0.3481941739309284,0.05823063850402832,0.6090688705444336,0.6672995090484619,1869.2,0.3373493975903614,0.06666666666666667,0.13953488372093023,0.3050847457627119,0.0,0.0,0.578125
eucl_params_nodiv,0.01,knn,42,0.32350615139672895,0.061373233795166016,1.0444014072418213,1.1057746410369873,1869.5,0.3829787234042553,0.2857142857142857,0.15,0.14814814814814814,0.0,0.0,0.5
eucl_params_nodiv,0.01,knn,43,0.38440315737045516,0.061158180236816406,0.9765810966491699,1.0377392768859863,1869.5,0.26506024096385544,0.19047619047619047,0.2,0.358974358974359,0.0,0.6666666666666666,0.65
eucl_params_nodiv,0.01,knn,44,0.37684987038293577,0.061875343322753906,1.0473113059997559,1.1091866493225098,1869.5,0.35294117647058826,0.2608695652173913,0.17647058823529413,0.25,0.0,0.0,0.6349206349206349
eucl_params_nodiv,0.01,knn,45,0.32398866061474757,0.0692601203918457,0.9695372581481934,1.038797378540039,1869.5,0.29333333333333333,0.24,0.13043478260869565,0.2028985507246377,0.0,0.0,0.5692307692307692
eucl_params_nodiv,0.01,knn,46,0.3498848982701765,0.058480262756347656,0.39156317710876465,0.4500434398651123,1869.5,0.3373493975903614,0.06451612903225806,0.19047619047619047,0.3050847457627119,0.0,0.0,0.5625
eucl_raw,0.1,knn,42,0.6148157599296216,3.5762786865234375e-06,1.0052247047424316,1.0052282810211182,1871.4,0.7333333333333333,0.375,0.4827586206896552,0.6582278481012658,0.0,1.0,0.5974025974025974
eucl_raw,0.1,knn,43,0.6173070834935114,2.1457672119140625e-06,1.0002150535583496,1.0002171993255615,1871.4,0.6470588235294118,0.5853658536585366,0.6296296296296297,0.5074626865671642,0.0,0.6666666666666666,0.691358024691358
eucl_raw,0.1,knn,44,0.6363769313968307,2.86102294921875e-06,1.0141503810882568,1.014153242111206,1871.4,0.6597938144329897,0.2962962962962963,0.7441860465116279,0.4318181818181818,0.0,0.6666666666666666,0.8222222222222222
eucl_raw,0.1,knn,45,0.6179906529593276,2.384185791015625e-06,0.9863731861114502,0.9863755702972412,1871.4,0.6476190476190476,0.5945945945945946,0.5454545454545454,0.4266666666666667,0.0,1.0,0.7710843373493976
eucl_raw,0.1,knn,46,0.4438320508531281,2.1457672119140625e-06,0.6670432090759277,0.6670453548431396,1871.4,0.6666666666666666,0.26666666666666666,0.5416666666666666,0.40476190476190477,0.0,0.0,0.29508196721311475
eucl_raw_nodiv,0.1,knn,42,0.6148157599296216,2.384185791015625e-06,0.5865554809570312,0.5865578651428223,1871.0,0.7333333333333333,0.375,0.4827586206896552,0.6582278481012658,0.0,1.0,0.5974025974025974
eucl_raw_nodiv,0.1,knn,43,0.61806660715195,6.198883056640625e-06,0.5841495990753174,0.584155797958374,1871.0,0.6407766990291263,0.5853658536585366,0.6296296296296297,0.5074626865671642,0.0,0.6666666666666666,0.7
eucl_raw_nodiv,0.1,knn,44,0.6314698936683519,2.6226043701171875e-06,0.599689245223999,0.5996918678283691,1871.0,0.6458333333333334,0.2962962962962963,0.7441860465116279,0.42696629213483145,0.0,0.6666666666666666,0.8222222222222222
eucl_raw_nodiv,0.1,knn,45,0.6144055170791752,3.0994415283203125e-06,0.5514743328094482,0.5514774322509766,1871.0,0.6476190476190476,0.5555555555555556,0.5581395348837209,0.4155844155844156,0.0,1.0,0.7710843373493976
eucl_raw_nodiv,0.1,knn,46,0.4438320508531281,1.6689300537109375e-06,0.3326151371002197,0.33261680603027344,1871.0,0.6666666666666666,0.26666666666666666,0.5416666666666666,0.40476190476190477,0.0,0.0,0.29508196721311475
sta,0.1,knn,42,0.6521000457004347,1.9073486328125e-06,4104.839551925659,4104.839553833008,8064.3,0.6666666666666666,0.5714285714285714,0.5161290322580645,0.4375,0.0,1.0,0.8807339449541285
sta,0.1,knn,43,0.6712044887266125,2.6226043701171875e-06,4104.64048743248,4104.640490055084,8064.3,0.7256637168141593,0.7272727272727273,0.6,0.35555555555555557,0.0,0.6666666666666666,0.8846153846153846
sta,0.1,knn,44,0.6997428365285507,2.384185791015625e-06,4242.4163813591,4242.416383743286,8064.3,0.7291666666666666,0.5454545454545454,0.6111111111111112,0.6111111111111112,0.0,0.6666666666666666,0.8403361344537815
sta,0.1,knn,45,0.6297740637234049,3.814697265625e-06,4242.336499452591,4242.336503267288,8064.3,0.6956521739130435,0.3448275862068966,0.2777777777777778,0.5405405405405406,0.0,0.6666666666666666,0.8771929824561403
sta,0.1,knn,46,0.6154607616242374,1.6689300537109375e-06,3535.793175458908,3535.793177127838,8064.3,0.8041237113402062,0.4166666666666667,0.3333333333333333,0.5396825396825397,0.0,0.0,0.7083333333333334
