method,gamma,mode,seed,f1,train_time,test_time,total_time,rss_mb,f1_class_0,f1_class_1,f1_class_4,f1_class_5
wasps,10000.0,barycenter,42.0,0.4810981867943893,10.197746753692627,0.8876447677612305,11.085391521453857,2465.5,0.8378378378378378,0.16666666666666666,0.34285714285714286,0.5714285714285714
wasps,10000.0,barycenter,43.0,0.4336378551622444,11.453768968582153,0.916374683380127,12.37014365196228,2465.5,0.5517241379310345,0.22580645161290322,0.4578313253012048,0.5045045045045045
wasps,10000.0,barycenter,44.0,0.46596089056200546,11.012101650238037,0.6684830188751221,11.68058466911316,2465.5,0.5573770491803278,0.3,0.5121951219512195,0.4864864864864865
wasps,10000.0,barycenter,45.0,0.5220447285586431,11.26528000831604,0.9185125827789307,12.18379259109497,2465.5,0.7272727272727273,0.27586206896551724,0.5116279069767442,0.5684210526315789
wasps,10000.0,barycenter,46.0,0.4896825396825397,3.2032997608184814,0.4928739070892334,3.696173667907715,2465.5,0.7777777777777778,0.13333333333333333,0.47619047619047616,0.5714285714285714
wasps_nodiv,10000.0,barycenter,42.0,0.47896731745691196,9.71635913848877,1.409034252166748,11.125393390655518,2411.2,0.8266666666666667,0.1694915254237288,0.34285714285714286,0.5714285714285714
wasps_nodiv,10000.0,barycenter,43.0,0.4409727526786948,9.581844091415405,1.3844459056854248,10.96628999710083,2411.2,0.576271186440678,0.22580645161290322,0.4578313253012048,0.509090909090909
wasps_nodiv,10000.0,barycenter,44.0,0.4281746496546023,9.896284580230713,1.2942311763763428,11.190515756607056,2411.2,0.49122807017543857,0.24561403508771928,0.5060240963855421,0.46153846153846156
wasps_nodiv,10000.0,barycenter,45.0,0.5266730786731758,10.020260572433472,1.4275455474853516,11.447806119918823,2411.2,0.7272727272727273,0.2857142857142857,0.5116279069767442,0.5773195876288659
wasps_nodiv,10000.0,barycenter,46.0,0.4896825396825397,1.568312168121338,0.49387431144714355,2.0621864795684814,2411.2,0.7777777777777778,0.13333333333333333,0.47619047619047616,0.5714285714285714
eucl_params,100.0,barycenter,42.0,0.27147892344647434,11.685405969619751,0.9999756813049316,12.685381650924683,2430.0,0.43243243243243246,0.14285714285714285,0.1694915254237288,0.33962264150943394
eucl_params,100.0,barycenter,43.0,0.34467840639440495,11.367039918899536,1.1761670112609863,12.543206930160522,2430.0,0.47058823529411764,0.35294117647058826,0.23333333333333334,0.32
eucl_params,100.0,barycenter,44.0,0.2907157240345514,12.616101503372192,0.6209616661071777,13.23706316947937,2430.0,0.36363636363636365,0.36231884057971014,0.19444444444444445,0.24489795918367346
eucl_params,100.0,barycenter,45.0,0.3067297931082932,11.641170024871826,1.080373764038086,12.721543788909912,2430.0,0.425531914893617,0.23728813559322035,0.3380281690140845,0.2222222222222222
eucl_params,100.0,barycenter,46.0,0.2786195286195286,2.679124593734741,0.29699230194091797,2.976116895675659,2430.0,0.4266666666666667,0.15151515151515152,0.2962962962962963,0.24
eucl_params_nodiv,100.0,barycenter,42.0,0.27147892344647434,9.275520324707031,0.5505127906799316,9.826033115386963,2397.3,0.43243243243243246,0.14285714285714285,0.1694915254237288,0.33962264150943394
eucl_params_nodiv,100.0,barycenter,43.0,0.34467840639440495,8.769091606140137,0.8412370681762695,9.610328674316406,2397.3,0.47058823529411764,0.35294117647058826,0.23333333333333334,0.32
eucl_params_nodiv,100.0,barycenter,44.0,0.2823643074361517,8.737841844558716,0.7410955429077148,9.47893738746643,2397.3,0.3333333333333333,0.3597122302158273,0.19444444444444445,0.24489795918367346
eucl_params_nodiv,100.0,barycenter,45.0,0.30652310487396955,9.175606966018677,0.5892469882965088,9.764853954315186,2397.3,0.42857142857142855,0.23333333333333334,0.3380281690140845,0.2222222222222222
eucl_params_nodiv,100.0,barycenter,46.0,0.2786195286195286,1.5431578159332275,0.7194902896881104,2.262648105621338,2397.3,0.4266666666666667,0.15151515151515152,0.2962962962962963,0.24
eucl_raw,0.0001,barycenter,42.0,0.3747250871674835,15.737508296966553,1.1131315231323242,16.850639820098877,2623.8,0.5185185185185185,0.25806451612903225,0.4774193548387097,0.24489795918367346
eucl_raw,0.0001,barycenter,43.0,0.27025673283011836,16.173588752746582,1.047609567642212,17.221198320388794,2623.8,0.5,0.12244897959183673,0.047619047619047616,0.410958904109589
eucl_raw,0.0001,barycenter,44.0,0.34407602856053515,15.373713731765747,1.0152864456176758,16.389000177383423,2623.8,0.5357142857142857,0.047619047619047616,0.4539877300613497,0.3389830508474576
eucl_raw,0.0001,barycenter,45.0,0.2534383497889821,15.600452184677124,1.0061309337615967,16.60658311843872,2623.8,0.3448275862068966,0.046511627906976744,0.43373493975903615,0.18867924528301888
eucl_raw,0.0001,barycenter,46.0,0.352260583320757,4.217353343963623,0.5661089420318604,4.783462285995483,2623.8,0.49056603773584906,0.13333333333333333,0.4563758389261745,0.3287671232876712
eucl_raw_nodiv,0.0001,barycenter,42.0,0.3747250871674835,12.117535829544067,0.8078098297119141,12.925345659255981,2585.0,0.5185185185185185,0.25806451612903225,0.4774193548387097,0.24489795918367346
eucl_raw_nodiv,0.0001,barycenter,43.0,0.27025673283011836,11.973678588867188,0.8986246585845947,12.872303247451782,2585.0,0.5,0.12244897959183673,0.047619047619047616,0.410958904109589
eucl_raw_nodiv,0.0001,barycenter,44.0,0.34407602856053515,11.499382972717285,1.247140884399414,12.7465238571167,2585.0,0.5357142857142857,0.047619047619047616,0.4539877300613497,0.3389830508474576
eucl_raw_nodiv,0.0001,barycenter,45.0,0.2534383497889821,11.629219770431519,0.7214436531066895,12.350663423538208,2585.0,0.3448275862068966,0.046511627906976744,0.43373493975903615,0.18867924528301888
eucl_raw_nodiv,0.0001,barycenter,46.0,0.352260583320757,3.9231929779052734,0.6770374774932861,4.60023045539856,2585.0,0.49056603773584906,0.13333333333333333,0.4563758389261745,0.3287671232876712
sta,0.0001,barycenter,42,0.2447987632323656,18624.250831127167,604.3761110305786,19228.626942157745,1570.9,0.09523809523809523,0.2988505747126437,0.5,0.0851063829787234
sta,0.0001,barycenter,43,0.298431952103951,18630.136670589447,603.7267923355103,19233.863462924957,1570.9,0.47540983606557374,0.21428571428571427,0.12903225806451613,0.375
sta,0.0001,barycenter,44,0.3067149027259574,11273.458466529846,415.98209857940674,11689.440565109253,1570.9,0.35294117647058826,0.1509433962264151,0.4768211920529801,0.24615384615384617
sta,0.0001,barycenter,45,0.2839613899817279,11271.924429416656,415.5428535938263,11687.467283010483,1570.9,0.13636363636363635,0.23880597014925373,0.4503311258278146,0.3103448275862069
sta,0.0001,barycenter,46,0.39057173875993917,5053.247357845306,224.81269574165344,5278.06005358696,1570.9,0.39215686274509803,0.36619718309859156,0.49624060150375937,0.3076923076923077
