fraction,seed,fold,f1,train_time,test_time,total_time,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,f1_class_6
0.0,42,,0.6471485376378574,2920.738506793976,242.51219129562378,3163.2506980895996,0.6410256410256411,0.5853658536585366,0.5,0.5797101449275363,0.0,0.4444444444444444,0.8131868131868132
0.0,43,,0.5966342527281995,2857.8299543857574,237.25682711601257,3095.08678150177,0.4507042253521127,0.6111111111111112,0.5789473684210527,0.4810126582278481,0.0,0.15384615384615385,0.8631578947368421
0.0,44,,0.6783911863893299,3132.5862164497375,227.6706988811493,3360.256915330887,0.5316455696202531,0.5714285714285714,0.6976744186046512,0.5609756097560976,0.11764705882352941,0.25,0.96
0.0,45,,0.565430411986803,3089.3521616458893,321.65641355514526,3411.0085752010345,0.40540540540540543,0.6842105263157895,0.3888888888888889,0.4222222222222222,0.0,0.8,0.8791208791208791
0.0,46,,0.6793288942167521,3759.7220587730408,224.8000636100769,3984.5221223831177,0.5263157894736842,0.7428571428571429,0.6190476190476191,0.6363636363636364,0.0,0.6666666666666666,0.8936170212765957
0.05,42,,0.6511704792890239,2807.3427650928497,245.1969518661499,3052.5397169589996,0.64,0.6,0.4897959183673469,0.5833333333333334,0.0,0.4444444444444444,0.8260869565217391
0.05,43,,0.5756237977641783,2739.266352891922,224.62923192977905,2963.895584821701,0.4444444444444444,0.5882352941176471,0.5641025641025641,0.43902439024390244,0.0,0.16,0.8387096774193549
0.05,44,,0.6174980157079395,3030.9175424575806,219.39318084716797,3250.3107233047485,0.4594594594594595,0.3333333333333333,0.6976744186046512,0.5647058823529412,0.10526315789473684,0.2857142857142857,0.8775510204081632
0.05,45,,0.5518835409362988,2826.0208530426025,262.7996139526367,3088.8204669952393,0.4266666666666667,0.6153846153846154,0.42105263157894735,0.41304347826086957,0.0,0.6666666666666666,0.8275862068965517
0.05,46,,0.6618651457066594,3857.6516823768616,220.58585572242737,4078.237538099289,0.5263157894736842,0.6486486486486487,0.6666666666666666,0.6444444444444445,0.0,0.6666666666666666,0.8314606741573034
0.1,42,,0.6103695230655488,2473.643309354782,205.9191598892212,2679.5624692440033,0.6052631578947368,0.46153846153846156,0.4489795918367347,0.5757575757575758,0.0,0.5714285714285714,0.7727272727272727
0.1,43,,0.5892999765172148,2313.901878595352,191.87675976753235,2505.7786383628845,0.463768115942029,0.6285714285714286,0.5263157894736842,0.5,0.0,0.16666666666666666,0.8297872340425532
0.1,44,,0.6473232345569807,2373.279509782791,217.94881224632263,2591.2283220291138,0.525,0.5263157894736842,0.6363636363636364,0.5,0.11764705882352941,0.3333333333333333,0.9375
0.1,45,,0.5396754982979722,2864.489517211914,261.2576813697815,3125.7471985816956,0.410958904109589,0.5405405405405406,0.3888888888888889,0.425531914893617,0.0,0.5,0.8314606741573034
0.1,46,,0.6448193816315396,2793.3217618465424,227.41214871406555,3020.733910560608,0.5066666666666667,0.6666666666666666,0.5909090909090909,0.5531914893617021,0.0,0.8,0.8791208791208791
0.2,42,,0.6122339745171287,1859.7235617637634,172.43649816513062,2032.160059928894,0.7088607594936709,0.39285714285714285,0.5,0.4444444444444444,0.0,0.6666666666666666,0.7640449438202247
