fraction,seed,fold,f1,train_time,test_time,total_time,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,f1_class_6
0.0,42,,0.3353987764080561,4.8448333740234375,0.41706085205078125,5.261894226074219,0.3157894736842105,0.1111111111111111,0.08695652173913043,0.3170731707317073,0.0,0.0,0.5578231292517006
0.0,43,,0.36935356589278545,3.610053300857544,0.337374210357666,3.94742751121521,0.4745762711864407,0.0,0.358974358974359,0.09302325581395349,0.0,0.0,0.5909090909090909
0.0,44,,0.40572154268495736,3.950658082962036,0.3250443935394287,4.275702476501465,0.5208333333333334,0.4,0.19230769230769232,0.21818181818181817,0.0,0.0,0.5528455284552846
0.0,45,,0.4244056717105804,4.043372869491577,0.31810879707336426,4.361481666564941,0.41975308641975306,0.11764705882352941,0.36,0.36065573770491804,0.0,0.0,0.6131386861313869
0.0,46,,0.35346239730754325,3.7546467781066895,0.33431482315063477,4.088961601257324,0.3561643835616438,0.06666666666666667,0.17777777777777778,0.3,0.0,0.0,0.5652173913043478
0.05,42,,0.3660204931823107,4.659907341003418,0.3399674892425537,4.999874830245972,0.34210526315789475,0.13333333333333333,0.15384615384615385,0.32967032967032966,0.0,0.0,0.5942028985507246
0.05,43,,0.37251587481675974,3.7397444248199463,0.3009638786315918,4.040708303451538,0.48148148148148145,0.0,0.34615384615384615,0.16666666666666666,0.0,0.0,0.5486725663716814
0.05,44,,0.40834787812533796,3.7958264350891113,0.3381967544555664,4.134023189544678,0.5098039215686274,0.4,0.2,0.25806451612903225,0.0,0.0,0.5409836065573771
0.05,45,,0.36952989818661464,3.971195697784424,0.3144960403442383,4.285691738128662,0.2777777777777778,0.15384615384615385,0.21621621621621623,0.36363636363636365,0.0,0.0,0.6119402985074627
0.05,46,,0.32632581584265136,3.8093607425689697,0.35427045822143555,4.163631200790405,0.24615384615384617,0.06060606060606061,0.13043478260869565,0.3188405797101449,0.0,0.0,0.5864661654135338
0.1,42,,0.397409743695458,4.7812018394470215,0.35048341751098633,5.131685256958008,0.42857142857142855,0.14814814814814814,0.36363636363636365,0.2571428571428571,0.0,0.0,0.5757575757575758
0.1,43,,0.34787072197689123,3.6074702739715576,0.301501989364624,3.9089722633361816,0.39215686274509803,0.0,0.34146341463414637,0.10909090909090909,0.0,0.0,0.5925925925925926
0.1,44,,0.34008873114463173,3.7323687076568604,0.3271501064300537,4.059518814086914,0.4897959183673469,0.0,0.18181818181818182,0.09523809523809523,0.0,0.0,0.5507246376811594
0.1,45,,0.37507210884353737,3.9954400062561035,0.3169066905975342,4.312346696853638,0.32,0.13333333333333333,0.28,0.3142857142857143,0.0,0.0,0.6029411764705882
0.1,46,,0.3492406597250397,3.665144443511963,0.2790646553039551,3.944209098815918,0.30985915492957744,0.0,0.13333333333333333,0.36363636363636365,0.0,0.0,0.5864661654135338
0.2,42,,0.3394188428059396,4.4649598598480225,0.306607723236084,4.7715675830841064,0.375,0.2222222222222222,0.08333333333333333,0.1935483870967742,0.0,0.0,0.5751633986928104
0.2,43,,0.37430972798792345,3.37758731842041,0.26679348945617676,3.644380807876587,0.42,0.0,0.3157894736842105,0.23809523809523808,0.0,0.0,0.5765765765765766
0.2,44,,0.3180989724971488,3.3529067039489746,0.28172779083251953,3.634634494781494,0.32432432432432434,0.125,0.22857142857142856,0.13636363636363635,0.0,0.0,0.5531914893617021
0.2,45,,0.42974192203460493,3.4996135234832764,0.2756004333496094,3.7752139568328857,0.5142857142857142,0.0,0.2926829268292683,0.3076923076923077,0.0,0.0,0.6370370370370371
0.2,46,,0.35115634248655325,3.3782711029052734,0.2823777198791504,3.660648822784424,0.35,0.0,0.26229508196721313,0.2857142857142857,0.0,0.0,0.5538461538461539
0.3,42,,0.2649343735235483,3.7854244709014893,0.2690138816833496,4.054438352584839,0.14492753623188406,0.24489795918367346,0.08333333333333333,0.21212121212121213,0.0,0.0,0.5217391304347826
0.3,43,,0.37564596575245257,3.032546043395996,0.23529386520385742,3.2678399085998535,0.4628099173553719,0.0,0.35294117647058826,0.13043478260869565,0.0,0.0,0.6
0.3,44,,0.34486946778711486,2.754427909851074,0.2209930419921875,2.9754209518432617,0.47058823529411764,0.0,0.14545454545454545,0.16,0.0,0.0,0.5555555555555556
0.3,45,,0.3703119765912703,2.78482985496521,0.20976710319519043,2.9945969581604004,0.4044943820224719,0.07692307692307693,0.07692307692307693,0.3142857142857143,0.0,0.0,0.6074074074074074
0.3,46,,0.30594437286851084,2.8117125034332275,0.20642828941345215,3.0181407928466797,0.2,0.0,0.32,0.27692307692307694,0.0,0.0,0.5241379310344828
0.5,42,,0.3297761497761498,3.373659610748291,0.2235398292541504,3.5971994400024414,0.46296296296296297,0.0,0.0,0.2222222222222222,0.0,0.0,0.5299145299145299
0.5,43,,0.3756051505091318,2.456378936767578,0.19946885108947754,2.6558477878570557,0.43333333333333335,0.0,0.2857142857142857,0.26229508196721313,0.0,0.0,0.5641025641025641
0.5,44,,0.3298935076052577,2.3795504570007324,0.19984889030456543,2.579399347305298,0.3404255319148936,0.17647058823529413,0.09523809523809523,0.2222222222222222,0.0,0.0,0.5619834710743802
0.5,45,,0.3946684936951004,2.3299942016601562,0.198272705078125,2.5282669067382812,0.45652173913043476,0.27586206896551724,0.15789473684210525,0.3103448275862069,0.0,0.0,0.5581395348837209
0.5,46,,0.34661009667024706,2.3964638710021973,0.2026510238647461,2.5991148948669434,0.3,0.2857142857142857,0.17142857142857143,0.2894736842105263,0.0,0.0,0.55
