fraction,seed,fold,f1,train_time,test_time,total_time,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,f1_class_6
0.0,42,,0.6575043160112163,8.375940799713135,0.49469733238220215,8.870638132095337,0.6896551724137931,0.7027027027027027,0.5714285714285714,0.5084745762711864,0.0,0.3333333333333333,0.7959183673469388
0.0,43,,0.5905608052939215,7.7308454513549805,0.4168257713317871,8.147671222686768,0.5263157894736842,0.55,0.5333333333333333,0.4827586206896552,0.0,0.14285714285714285,0.8041237113402062
0.0,44,,0.6245819499466888,7.739139556884766,0.46874117851257324,8.207880735397339,0.4878048780487805,0.6451612903225806,0.6153846153846154,0.4927536231884058,0.10526315789473684,0.15384615384615385,0.8865979381443299
0.0,45,,0.5745735753135343,7.975152254104614,0.48712587356567383,8.462278127670288,0.4943820224719101,0.5263157894736842,0.5454545454545454,0.3880597014925373,0.0,0.2,0.845360824742268
0.0,46,,0.583707638117576,7.739935874938965,0.41934800148010254,8.159283876419067,0.5,0.5238095238095238,0.5,0.5641025641025641,0.0,0.36363636363636365,0.7608695652173914
0.05,42,,0.6211866311742088,8.173006772994995,0.4686141014099121,8.641620874404907,0.6521739130434783,0.6666666666666666,0.5454545454545454,0.43333333333333335,0.0,0.2857142857142857,0.782608695652174
0.05,43,,0.5867306906413414,7.343275308609009,0.413330078125,7.756605386734009,0.5063291139240507,0.55,0.5641025641025641,0.4838709677419355,0.0,0.14814814814814814,0.7959183673469388
0.05,44,,0.6153024474202067,7.636631488800049,0.4123859405517578,8.049017429351807,0.46153846153846156,0.6666666666666666,0.631578947368421,0.5070422535211268,0.1,0.16666666666666666,0.8571428571428571
0.05,45,,0.5719711292505685,7.44659948348999,0.5265774726867676,7.973176956176758,0.5168539325842697,0.5945945945945946,0.3870967741935484,0.4383561643835616,0.0,0.25,0.8282828282828283
0.05,46,,0.5977617651166038,7.694051027297974,0.4439120292663574,8.137963056564331,0.5194805194805194,0.5,0.5238095238095238,0.6,0.0,0.5714285714285714,0.7526881720430108
0.1,42,,0.6272822793881434,7.9567649364471436,0.47083568572998047,8.427600622177124,0.6666666666666666,0.6341463414634146,0.5,0.5,0.0,0.4,0.7659574468085106
0.1,43,,0.5738201374239204,7.190519332885742,0.41790151596069336,7.6084208488464355,0.4444444444444444,0.5853658536585366,0.5909090909090909,0.47619047619047616,0.0,0.14814814814814814,0.7959183673469388
0.1,44,,0.6034087390462743,7.368413686752319,0.4717142581939697,7.840127944946289,0.4634146341463415,0.6896551724137931,0.55,0.43243243243243246,0.11764705882352941,0.16666666666666666,0.8958333333333334
0.1,45,,0.5637142857142857,7.436070919036865,0.5001487731933594,7.936219692230225,0.5,0.55,0.36363636363636365,0.4444444444444444,0.0,0.25,0.8333333333333334
0.1,46,,0.5425565278369121,7.142562627792358,0.5047070980072021,7.6472697257995605,0.47368421052631576,0.5365853658536586,0.32432432432432434,0.5121951219512195,0.0,0.4,0.7526881720430108
0.2,42,,0.5827645960386284,7.4712512493133545,0.3806734085083008,7.851924657821655,0.6588235294117647,0.6341463414634146,0.391304347826087,0.39285714285714285,0.0,0.36363636363636365,0.7446808510638298
0.2,43,,0.5492900748714242,6.533121585845947,0.42039966583251953,6.953521251678467,0.4657534246575342,0.5116279069767442,0.46511627906976744,0.4262295081967213,0.0,0.13793103448275862,0.8
0.2,44,,0.5431067149905906,6.704761505126953,0.43749499320983887,7.142256498336792,0.41025641025641024,0.5882352941176471,0.46511627906976744,0.3466666666666667,0.10526315789473684,0.25,0.8602150537634409
0.2,45,,0.591807212265082,6.774028301239014,0.3738274574279785,7.147855758666992,0.5411764705882353,0.6896551724137931,0.4444444444444444,0.42696629213483145,0.0,0.3076923076923077,0.8297872340425532
