fraction,f1_mean,f1_std,n_folds_ok,train_time_mean,test_time_mean,total_time_mean
0.0,0.6333866565917884,0.04537461105238819,5,3152.0457796096803,250.77923889160155,3402.8250185012816
0.05,0.6116081958808199,0.04239702010265112,5,3052.239839172363,234.5209668636322,3286.7608060359953
0.1,0.6062975228138512,0.03977696455877641,5,2563.7271953582763,220.88291239738464,2784.610107755661
0.2,0.5843473903377697,0.026634801192967027,5,1872.179499578476,183.41853547096252,2055.5980350494383
0.3,0.5659495763365227,0.03864263509061424,5,1292.5257949352265,117.44738664627076,1409.973181581497
0.5,0.5293243887288007,0.05011655481506613,5,623.5832164287567,64.0208167552948,687.6040331840516
