fraction,seed,fold,f1,train_time,test_time,total_time,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,f1_class_6
0.1,42,,0.4161052358011209,4.788790702819824,0.4131457805633545,5.201936483383179,0.47368421052631576,0.5915492957746479,0.7111111111111111,0.3333333333333333,0.4,0.25806451612903225,0.0
0.1,43,,0.690068302068302,4.394578218460083,0.277158260345459,4.671736478805542,0.75,0.7857142857142857,0.65,0.5454545454545454,0.6,0.32,0.8
0.1,44,,0.5817266831135794,4.422407865524292,0.24898028373718262,4.671388149261475,0.5641025641025641,0.7692307692307693,0.3902439024390244,0.3783783783783784,0.5454545454545454,0.2857142857142857,0.8627450980392157
0.1,45,,0.5918093642749462,4.561699390411377,0.23035240173339844,4.792051792144775,0.5106382978723404,0.7058823529411765,0.5405405405405406,0.5106382978723404,0.3076923076923077,0.2857142857142857,0.8085106382978723
0.1,46,,0.6709906671663778,3.9334757328033447,0.22626948356628418,4.159745216369629,0.5116279069767442,0.8727272727272727,0.7142857142857143,0.4864864864864865,0.4444444444444444,0.26666666666666666,0.8888888888888888
0.2,42,,0.3559789519517422,4.129881381988525,0.27649903297424316,4.4063804149627686,0.3902439024390244,0.5671641791044776,0.7450980392156863,0.07692307692307693,0.42857142857142855,0.25,0.0
0.2,43,,0.6695571232608271,3.8957390785217285,0.24942278861999512,4.145161867141724,0.7619047619047619,0.7407407407407407,0.65,0.5,0.6666666666666666,0.2962962962962963,0.7555555555555555
0.2,44,,0.5710051003121033,3.9473109245300293,0.24742841720581055,4.19473934173584,0.5581395348837209,0.7916666666666666,0.3,0.43902439024390244,0.7058823529411765,0.2962962962962963,0.7777777777777778
0.2,45,,0.5951350411847862,4.007558345794678,0.2201230525970459,4.227681398391724,0.5263157894736842,0.6530612244897959,0.5853658536585366,0.5,0.631578947368421,0.2962962962962963,0.75
0.2,46,,0.6214304388688742,3.7520384788513184,0.2251136302947998,3.977152109146118,0.4444444444444444,0.76,0.6829268292682927,0.4,0.6666666666666666,0.24242424242424243,0.8695652173913043
0.3,42,,0.5791314564155082,3.8653481006622314,0.39212822914123535,4.257476329803467,0.42105263157894735,0.7777777777777778,0.6363636363636364,0.3333333333333333,0.41379310344827586,0.25806451612903225,0.8181818181818182
0.3,43,,0.657350191666041,3.4671268463134766,0.18330860137939453,3.650435447692871,0.7111111111111111,0.7636363636363637,0.631578947368421,0.4782608695652174,0.5882352941176471,0.32,0.7727272727272727
0.3,44,,0.46555967508348456,3.4533846378326416,0.22717761993408203,3.6805622577667236,0.42857142857142855,0.5925925925925926,0.358974358974359,0.32432432432432434,0.45454545454545453,0.2962962962962963,0.6530612244897959
0.3,45,,0.5859997916877518,3.577606201171875,0.20453977584838867,3.7821459770202637,0.45,0.6530612244897959,0.6341463414634146,0.5333333333333333,0.5263157894736842,0.27586206896551724,0.723404255319149
0.3,46,,0.5600162112420999,3.7432260513305664,0.21880364418029785,3.9620296955108643,0.2777777777777778,0.7058823529411765,0.6341463414634146,0.4878048780487805,0.5,0.22857142857142856,0.7619047619047619
0.4,42,,0.5379311925548382,3.2803146839141846,0.2872490882873535,3.567563772201538,0.46511627906976744,0.7450980392156863,0.5641025641025641,0.21428571428571427,0.42857142857142855,0.27586206896551724,0.7692307692307693
0.4,43,,0.5920593337191271,2.9177632331848145,0.18487191200256348,3.102635145187378,0.5853658536585366,0.7272727272727273,0.5128205128205128,0.4782608695652174,0.47619047619047616,0.2962962962962963,0.7317073170731707
0.4,44,,0.518481592385814,3.0300705432891846,0.19800209999084473,3.2280726432800293,0.42105263157894735,0.7659574468085106,0.3076923076923077,0.4,0.45454545454545453,0.25806451612903225,0.7547169811320755
0.4,45,,0.4946454872380799,2.979344606399536,0.20708298683166504,3.186427593231201,0.4,0.6296296296296297,0.43243243243243246,0.2727272727272727,0.5555555555555556,0.2962962962962963,0.7555555555555555
0.4,46,,0.47141244858302683,3.1117148399353027,0.19220256805419922,3.303917407989502,0.21428571428571427,0.6415094339622641,0.5365853658536586,0.21621621621621623,0.46153846153846156,0.21621621621621623,0.7916666666666666
0.5,42,,0.34949782884556363,2.445889472961426,0.21029043197631836,2.656179904937744,0.3684210526315789,0.59375,0.5925925925925926,0.1875,0.41379310344827586,0.2857142857142857,0.0
0.5,43,,0.5031335981473485,1.9518535137176514,0.139235258102417,2.0910887718200684,0.5365853658536586,0.6428571428571429,0.35294117647058826,0.3404255319148936,0.42105263157894735,0.2962962962962963,0.6956521739130435
0.5,44,,0.4528741789611354,2.0103611946105957,0.15041089057922363,2.1607720851898193,0.358974358974359,0.6666666666666666,0.2857142857142857,0.3181818181818182,0.42857142857142855,0.38095238095238093,0.6521739130434783
0.5,45,,0.47152353819020487,2.002519369125366,0.14441132545471191,2.146930694580078,0.41025641025641024,0.5769230769230769,0.45,0.4,0.3333333333333333,0.2857142857142857,0.5833333333333334
0.5,46,,0.5316134563390217,2.0460736751556396,0.14142417907714844,2.187497854232788,0.1935483870967742,0.75,0.6511627906976745,0.3076923076923077,0.4444444444444444,0.2222222222222222,0.8260869565217391
