method,gamma,f1_mean,f1_std,n_ok,train_time_mean,test_time_mean,total_time_mean
eucl_params,0.001,0.3712752832390851,0.032633026408705336,4.0,0.07656264305114746,1.461815893650055,1.5383785367012024
eucl_params_nodiv,0.001,0.3712752832390851,0.032633026408705336,4.0,0.0765729546546936,1.1159296035766602,1.1925025582313538
eucl_raw,0.001,0.6245776576363592,0.031020412822140367,4.0,2.384185791015625e-06,1.168192982673645,1.168195366859436
eucl_raw_nodiv,0.001,0.6245776576363592,0.031020412822140367,4.0,2.7418136596679688e-06,0.6735606789588928,0.6735634207725525
sta,0.001,0.7722697286811171,0.03970447444104005,4.0,2.4437904357910156e-06,5200.906670510769,5200.906672954559
wasps,0.001,0.685663309736121,0.022625995278639358,4.0,0.07641750574111938,1.7978947162628174,1.8743122220039368
wasps_nodiv,0.001,0.6852875011165177,0.02174309750128736,4.0,0.07707571983337402,1.2058688402175903,1.2829445600509644
eucl_params,0.01,0.3706956159345028,0.02879053174130002,4.0,0.07651656866073608,1.4481995105743408,1.524716079235077
eucl_params_nodiv,0.01,0.3675780232769007,0.029696065278982886,4.0,0.07615000009536743,1.0940997004508972,1.1702497005462646
eucl_raw,0.01,0.6245776576363592,0.031020412822140367,4.0,2.682209014892578e-06,1.154021680355072,1.154024362564087
eucl_raw_nodiv,0.01,0.6245776576363592,0.031020412822140367,4.0,3.4570693969726562e-06,0.6725488305091858,0.6725522875785828
sta,0.01,0.7260298171125668,0.05806993466128069,4.0,2.4437904357910156e-06,5263.131235539913,5263.131237983704
wasps,0.01,0.7009714127000495,0.025162411527860355,4.0,0.07567828893661499,1.78059983253479,1.856278121471405
wasps_nodiv,0.01,0.6576417341854219,0.024300042809533757,4.0,0.08154767751693726,1.2547739744186401,1.3363216519355774
eucl_params,0.1,0.4047613334454592,0.023482058435240646,4.0,0.0765489935874939,1.448690414428711,1.5252394080162048
eucl_params_nodiv,0.1,0.3862851276725288,0.020707639356827956,4.0,0.07664000988006592,1.1052832007408142,1.1819232106208801
eucl_raw,0.1,0.6228621894099998,0.028340204984977656,4.0,2.682209014892578e-06,1.171679437160492,1.1716821193695068
eucl_raw_nodiv,0.1,0.6228621894099998,0.028340204984977656,4.0,3.0994415283203125e-06,0.6801526546478271,0.6801557540893555
sta,0.1,0.6521909174960719,0.05657319328430963,4.0,2.4437904357910156e-06,5193.035265445709,5193.0352678895
wasps,0.1,0.7399712008629461,0.032769132643191354,4.0,0.08005404472351074,1.8007466793060303,1.880800724029541
wasps_nodiv,0.1,0.55108960366371,0.058983691818412995,4.0,0.07680898904800415,1.232666790485382,1.3094757795333862
eucl_params,1.0,0.4081711650631007,0.0313611043491043,4.0,0.07585775852203369,1.4716717004776,1.5475294589996338
eucl_params_nodiv,1.0,0.33192706798122684,0.045866205452889226,4.0,0.07575154304504395,1.111430287361145,1.187181830406189
eucl_raw,1.0,0.6355487971709655,0.025635735545261697,4.0,2.4437904357910156e-06,1.176287293434143,1.1762897372245789
eucl_raw_nodiv,1.0,0.540140132451936,0.030552858874600627,4.0,2.8014183044433594e-06,0.6449154615402222,0.6449182629585266
sta,1.0,0.5761507838649242,0.046960724009313566,4.0,2.4437904357910156e-06,5225.596388101578,5225.596390545368
wasps,1.0,0.7159845617222169,0.029810685377082022,4.0,0.0780181884765625,1.7728136777877808,1.8508318662643433
wasps_nodiv,1.0,0.49923659405395554,0.04644759093451273,4.0,0.07609546184539795,1.224244773387909,1.3003402352333069
eucl_params,10.0,0.4016897164275679,0.024982078303673567,4.0,0.07556235790252686,1.43927001953125,1.5148323774337769
