method,gamma,seed,f1,train_time,test_time,total_time,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,f1_class_6
wasps,0.01,42.0,0.674877964141122,0.0758659839630127,1.7958152294158936,1.8716812133789062,0.6666666666666666,0.7857142857142857,0.6153846153846154,0.49230769230769234,0.0,0.0,0.8596491228070176
wasps,0.01,43.0,0.7371208600922887,0.07577157020568848,1.7797858715057373,1.8555574417114258,0.66,0.8484848484848485,0.8095238095238095,0.49230769230769234,0.0,0.6666666666666666,0.9523809523809523
wasps,0.01,44.0,0.7116656213799071,0.07568120956420898,1.7833983898162842,1.8590795993804932,0.7111111111111111,0.6363636363636364,0.5641025641025641,0.6428571428571429,0.0,0.0,0.9009009009009009
wasps,0.01,45.0,0.6802212051868801,0.0753943920135498,1.7633998394012451,1.838794231414795,0.7368421052631579,0.6956521739130435,0.375,0.5925925925925926,0.0,0.0,0.8695652173913043
wasps_nodiv,0.01,42.0,0.6430812610073657,0.08867859840393066,1.2437026500701904,1.332381248474121,0.6732673267326733,0.6923076923076923,0.6666666666666666,0.4,0.0,0.0,0.8130081300813008
wasps_nodiv,0.01,43.0,0.662683851919146,0.07940864562988281,1.265824317932129,1.3452329635620117,0.6274509803921569,0.8,0.5945945945945946,0.40625,0.0,0.5,0.9009009009009009
wasps_nodiv,0.01,44.0,0.6946440386680989,0.08195614814758301,1.284254789352417,1.3662109375,0.6947368421052632,0.5263157894736842,0.6842105263157895,0.6133333333333333,0.0,0.0,0.8571428571428571
wasps_nodiv,0.01,45.0,0.6301577851470772,0.07614731788635254,1.2253141403198242,1.3014614582061768,0.6534653465346535,0.6666666666666666,0.3448275862068966,0.5277777777777778,0.0,0.0,0.8429752066115702
eucl_params,0.01,42.0,0.3619496595183667,0.07606291770935059,1.4235413074493408,1.4996042251586914,0.4731182795698925,0.2,0.12121212121212122,0.12903225806451613,0.0,0.0,0.5984251968503937
eucl_params,0.01,43.0,0.33038764944746396,0.07671523094177246,1.487950325012207,1.5646655559539795,0.3516483516483517,0.43478260869565216,0.125,0.0821917808219178,0.0,0.0,0.5714285714285714
eucl_params,0.01,44.0,0.38088362205910226,0.07626986503601074,1.4493842124938965,1.5256540775299072,0.34146341463414637,0.16,0.38095238095238093,0.3225806451612903,0.0,0.0,0.549618320610687
eucl_params,0.01,45.0,0.4095615327130781,0.07701826095581055,1.431922197341919,1.5089404582977295,0.5471698113207547,0.10526315789473684,0.0,0.23333333333333334,0.0,0.5,0.6771653543307087
eucl_params_nodiv,0.01,42.0,0.3542775868147365,0.07598686218261719,1.0959861278533936,1.1719729900360107,0.4731182795698925,0.2,0.12121212121212122,0.09836065573770492,0.0,0.0,0.59375
eucl_params_nodiv,0.01,43.0,0.3312437038692327,0.07586789131164551,1.1136231422424316,1.1894910335540771,0.3516483516483517,0.43478260869565216,0.12121212121212122,0.0821917808219178,0.0,0.0,0.576
eucl_params_nodiv,0.01,44.0,0.3724137058360108,0.07760930061340332,1.111403226852417,1.1890125274658203,0.32098765432098764,0.16,0.3902439024390244,0.30303030303030304,0.0,0.0,0.549618320610687
eucl_params_nodiv,0.01,45.0,0.4123770965876229,0.07513594627380371,1.0553863048553467,1.1305222511291504,0.5576923076923077,0.10526315789473684,0.0,0.23333333333333334,0.0,0.5,0.676923076923077
eucl_raw,0.01,42.0,0.6091059475383345,2.1457672119140625e-06,1.1662771701812744,1.1662793159484863,0.6896551724137931,0.7058823529411765,0.68,0.5822784810126582,0.0,0.0,0.5428571428571428
eucl_raw,0.01,43.0,0.6259219647454941,3.5762786865234375e-06,1.1723873615264893,1.1723909378051758,0.6722689075630253,0.5909090909090909,0.7142857142857143,0.42857142857142855,0.0,0.6666666666666666,0.7160493827160493
eucl_raw,0.01,44.0,0.6735226873932757,2.6226043701171875e-06,1.102419137954712,1.102421760559082,0.76,0.37037037037037035,0.6470588235294118,0.6756756756756757,0.0,0.3333333333333333,0.725
eucl_raw,0.01,45.0,0.5897600308683325,2.384185791015625e-06,1.1750030517578125,1.1750054359436035,0.7377049180327869,0.5263157894736842,0.7,0.45614035087719296,0.0,1.0,0.5217391304347826
eucl_raw_nodiv,0.01,42.0,0.6091059475383345,4.291534423828125e-06,0.6802420616149902,0.6802463531494141,0.6896551724137931,0.7058823529411765,0.68,0.5822784810126582,0.0,0.0,0.5428571428571428
eucl_raw_nodiv,0.01,43.0,0.6259219647454941,2.86102294921875e-06,0.6587619781494141,0.6587648391723633,0.6722689075630253,0.5909090909090909,0.7142857142857143,0.42857142857142855,0.0,0.6666666666666666,0.7160493827160493
eucl_raw_nodiv,0.01,44.0,0.6735226873932757,2.6226043701171875e-06,0.7067036628723145,0.7067062854766846,0.76,0.37037037037037035,0.6470588235294118,0.6756756756756757,0.0,0.3333333333333333,0.725
eucl_raw_nodiv,0.01,45.0,0.5897600308683325,4.0531158447265625e-06,0.6444876194000244,0.6444916725158691,0.7377049180327869,0.5263157894736842,0.7,0.45614035087719296,0.0,1.0,0.5217391304347826
sta,0.01,42.0,0.6948698709046889,1.9073486328125e-06,5143.1517605781555,5143.151762485504,0.7333333333333333,0.5882352941176471,0.8085106382978723,0.631578947368421,0.0,0.0,0.7380952380952381
sta,0.01,43.0,0.7786635079206506,1.9073486328125e-06,5146.226181983948,5146.226183891296,0.6923076923076923,0.8484848484848485,0.9047619047619048,0.5538461538461539,0.0,0.6666666666666666,0.98
sta,0.01,44.0,0.7842735969437873,2.1457672119140625e-06,5381.621308803558,5381.621310949326,0.7572815533980582,0.6896551724137931,0.8,0.6197183098591549,0.0,0.6666666666666666,0.9803921568627451
sta,0.01,45.0,0.64631229268114,3.814697265625e-06,5381.525690793991,5381.525694608688,0.7166666666666667,0.5263157894736842,0.6666666666666666,0.4262295081967213,0.0,1.0,0.7710843373493976
wasps,1.0,42.0,0.6733670433585327,0.08102726936340332,1.7648367881774902,1.8458640575408936,0.6595744680851063,0.5714285714285714,0.68,0.5230769230769231,0.0,0.0,0.8703703703703703
wasps,1.0,43.0,0.7576501958600855,0.07980513572692871,1.752528429031372,1.8323335647583008,0.74,0.8387096774193549,0.6829268292682927,0.6060606060606061,0.0,0.6666666666666666,0.9245283018867925
wasps,1.0,44.0,0.7154663033457552,0.07558894157409668,1.784379243850708,1.8599681854248047,0.7474747474747475,0.5833333333333334,0.5263157894736842,0.704225352112676,0.0,0.0,0.8672566371681416
wasps,1.0,45.0,0.7174547043244945,0.07565140724182129,1.7895102500915527,1.865161657333374,0.7346938775510204,0.6666666666666666,0.6190476190476191,0.6197183098591549,0.0,0.0,0.8828828828828829
wasps_nodiv,1.0,42.0,0.43064268247090337,0.0771169662475586,1.2243945598602295,1.301511526107788,0.6590909090909091,0.3,0.07692307692307693,0.18181818181818182,0.0,0.0,0.6134969325153374
wasps_nodiv,1.0,43.0,0.5578286996351511,0.07594847679138184,1.2341053485870361,1.310053825378418,0.6222222222222222,0.6363636363636364,0.3870967741935484,0.38461538461538464,0.0,0.6666666666666666,0.6891891891891891
wasps_nodiv,1.0,44.0,0.4893825785070025,0.07562375068664551,1.22928786277771,1.3049116134643555,0.5641025641025641,0.25,0.35714285714285715,0.41935483870967744,0.0,0.0,0.6296296296296297
wasps_nodiv,1.0,45.0,0.5190924156027652,0.07569265365600586,1.2091913223266602,1.284883975982666,0.6,0.5263157894736842,0.08,0.5,0.0,0.0,0.6845637583892618
eucl_params,1.0,42.0,0.36552959140693164,0.07602262496948242,1.439549446105957,1.5155720710754395,0.34285714285714286,0.12903225806451613,0.32432432432432434,0.23529411764705882,0.0,0.0,0.5901639344262295
eucl_params,1.0,43.0,0.3933127407936006,0.07579612731933594,1.4713118076324463,1.5471079349517822,0.3655913978494624,0.1111111111111111,0.21428571428571427,0.24,0.0,0.6666666666666666,0.6870229007633588
eucl_params,1.0,44.0,0.4259240278621722,0.07591986656188965,1.452838659286499,1.5287585258483887,0.41237113402061853,0.18181818181818182,0.358974358974359,0.3333333333333333,0.0,0.0,0.6333333333333333
eucl_params,1.0,45.0,0.4479183001896984,0.07569241523742676,1.522986888885498,1.5986793041229248,0.5148514851485149,0.1,0.2222222222222222,0.3880597014925373,0.0,0.0,0.6551724137931034
eucl_params_nodiv,1.0,42.0,0.35123521245025907,0.0753026008605957,1.097886562347412,1.1731891632080078,0.4146341463414634,0.1,0.20689655172413793,0.20408163265306123,0.0,0.0,0.5542168674698795
eucl_params_nodiv,1.0,43.0,0.3199931734812866,0.0754702091217041,1.1207029819488525,1.1961731910705566,0.2608695652173913,0.1111111111111111,0.19047619047619047,0.3055555555555556,0.0,0.0,0.5241379310344828
eucl_params_nodiv,1.0,44.0,0.26550070826867944,0.07522797584533691,1.105381727218628,1.1806097030639648,0.22580645161290322,0.0,0.2222222222222222,0.17777777777777778,0.0,0.0,0.47715736040609136
eucl_params_nodiv,1.0,45.0,0.3909791777246824,0.07700538635253906,1.1217498779296875,1.1987552642822266,0.4878048780487805,0.0,0.0,0.3291139240506329,0.0,0.4,0.6344827586206897
eucl_raw,1.0,42.0,0.6001578361373879,2.384185791015625e-06,1.1802585124969482,1.1802608966827393,0.7209302325581395,0.5416666666666666,0.6792452830188679,0.5555555555555556,0.10526315789473684,0.0,0.5428571428571428
eucl_raw,1.0,43.0,0.6265803358972143,2.6226043701171875e-06,1.1992604732513428,1.199263095855713,0.6666666666666666,0.6222222222222222,0.6842105263157895,0.32,0.0,0.6666666666666666,0.8045977011494253
eucl_raw,1.0,44.0,0.6702171262138806,2.384185791015625e-06,1.1579983234405518,1.1580007076263428,0.6666666666666666,0.44,0.7058823529411765,0.5897435897435898,0.0,0.6666666666666666,0.8045977011494253
eucl_raw,1.0,45.0,0.6452398904353791,2.384185791015625e-06,1.1676318645477295,1.1676342487335205,0.7521367521367521,0.5263157894736842,0.7619047619047619,0.43636363636363634,0.0,0.0,0.725
eucl_raw_nodiv,1.0,42.0,0.5115702175915898,3.0994415283203125e-06,0.6414251327514648,0.6414282321929932,0.6363636363636364,0.47368421052631576,0.6222222222222222,0.5679012345679012,0.058823529411764705,0.0,0.3548387096774194
eucl_raw_nodiv,1.0,43.0,0.5597207580134409,3.0994415283203125e-06,0.638911247253418,0.6389143466949463,0.6341463414634146,0.5416666666666666,0.5,0.3076923076923077,0.0,0.6666666666666666,0.7160493827160493
