method,mode,k,n_seeds,acc_mean,acc_std,f1_mean,f1_std,time_mean,time_std
eucl_params,barycenter,,1,0.5,0.0,0.47019542584058704,0.0,164.5678586959839,0.0
eucl_params,knn,1,1,0.6625,0.0,0.6478545963840082,0.0,2.04494047164917,0.0
eucl_raw,barycenter,,1,0.35,0.0,0.275797373358349,0.0,195.89248871803284,0.0
eucl_raw,knn,1,1,0.5375,0.0,0.5192863457092344,0.0,4.47661280632019,0.0
wasps,barycenter,,1,0.3625,0.0,0.28982692479872174,0.0,176.10622787475586,0.0
wasps,knn,1,1,0.7625,0.0,0.7598161821525108,0.0,4.126235008239746,0.0
