class,mean_ks_pass,n_tests,n_samples
ACC,0.9375391291974957,281120,5020
PLA,0.9577958126255683,75656,1351
ROC,0.9407184854946049,123816,2211
ABL,0.9415471409447314,209160,3735
LAC,0.8950482033304119,9128,163
FOR,0.9338282959241553,296184,5289
