method,gamma,mode,seed,f1,train_time,test_time,total_time,rss_mb,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,f1_class_6
wasps,0.01,barycenter,42,0.6575043160112163,9.269679307937622,0.5731868743896484,9.84286618232727,2769.2,0.6896551724137931,0.7027027027027027,0.5714285714285714,0.5084745762711864,0.0,0.3333333333333333,0.7959183673469388
wasps,0.01,barycenter,43,0.5905608052939215,9.398369073867798,0.5994486808776855,9.997817754745483,2769.2,0.5263157894736842,0.55,0.5333333333333333,0.4827586206896552,0.0,0.14285714285714285,0.8041237113402062
wasps,0.01,barycenter,44,0.6245819499466888,9.115575313568115,0.5639617443084717,9.679537057876587,2769.2,0.4878048780487805,0.6451612903225806,0.6153846153846154,0.4927536231884058,0.10526315789473684,0.15384615384615385,0.8865979381443299
wasps,0.01,barycenter,45,0.5745735753135343,9.36557126045227,0.5377941131591797,9.90336537361145,2769.2,0.4943820224719101,0.5263157894736842,0.5454545454545454,0.3880597014925373,0.0,0.2,0.845360824742268
wasps,0.01,barycenter,46,0.583707638117576,3.0404651165008545,0.3767116069793701,3.4171767234802246,2769.2,0.5,0.5238095238095238,0.5,0.5641025641025641,0.0,0.36363636363636365,0.7608695652173914
wasps_nodiv,0.01,barycenter,42,0.6294973448954763,7.091946601867676,0.5753717422485352,7.667318344116211,2674.8,0.6590909090909091,0.6842105263157895,0.5306122448979592,0.41509433962264153,0.0,0.5714285714285714,0.8080808080808081
wasps_nodiv,0.01,barycenter,43,0.5894049781040634,6.999454498291016,0.5367755889892578,7.536230087280273,2674.8,0.5384615384615384,0.4878048780487805,0.5106382978723404,0.5423728813559322,0.0,0.17391304347826086,0.7708333333333334
wasps_nodiv,0.01,barycenter,44,0.6503639566794768,7.070711374282837,0.5665380954742432,7.63724946975708,2674.8,0.5121951219512195,0.7096774193548387,0.6046511627906976,0.5882352941176471,0.09523809523809523,0.4,0.8631578947368421
wasps_nodiv,0.01,barycenter,45,0.5835180912944888,6.9623963832855225,0.5081019401550293,7.470498323440552,2674.8,0.4888888888888889,0.5555555555555556,0.5,0.43478260869565216,0.0,0.2857142857142857,0.8571428571428571
wasps_nodiv,0.01,barycenter,46,0.5965133890499744,1.7939894199371338,0.3526885509490967,2.1466779708862305,2674.8,0.5454545454545454,0.5,0.5365853658536586,0.5641025641025641,0.0,0.4,0.75
eucl_params,10.0,barycenter,42,0.3353987764080561,6.296784162521362,0.42720961570739746,6.72399377822876,2602.5,0.3157894736842105,0.1111111111111111,0.08695652173913043,0.3170731707317073,0.0,0.0,0.5578231292517006
eucl_params,10.0,barycenter,43,0.36935356589278545,6.0377397537231445,0.46213436126708984,6.499874114990234,2602.5,0.4745762711864407,0.0,0.358974358974359,0.09302325581395349,0.0,0.0,0.5909090909090909
eucl_params,10.0,barycenter,44,0.40572154268495736,6.09194278717041,0.4644503593444824,6.556393146514893,2602.5,0.5208333333333334,0.4,0.19230769230769232,0.21818181818181817,0.0,0.0,0.5528455284552846
eucl_params,10.0,barycenter,45,0.4244056717105804,6.238540172576904,0.41129422187805176,6.649834394454956,2602.5,0.41975308641975306,0.11764705882352941,0.36,0.36065573770491804,0.0,0.0,0.6131386861313869
eucl_params,10.0,barycenter,46,0.35346239730754325,1.4669675827026367,0.2528557777404785,1.7198233604431152,2602.5,0.3561643835616438,0.06666666666666667,0.17777777777777778,0.3,0.0,0.0,0.5652173913043478
eucl_params_nodiv,1.0,barycenter,42,0.3951339486538512,5.2915520668029785,0.4097099304199219,5.7012619972229,2622.4,0.4,0.21739130434782608,0.46511627906976744,0.20408163265306123,0.0,0.0,0.5714285714285714
eucl_params_nodiv,1.0,barycenter,43,0.33619878690392413,5.283218145370483,0.38483095169067383,5.668049097061157,2622.4,0.35714285714285715,0.08163265306122448,0.36363636363636365,0.1724137931034483,0.0,0.0,0.5111111111111111
eucl_params_nodiv,1.0,barycenter,44,0.3487937466933528,5.1615965366363525,0.3904292583465576,5.55202579498291,2622.4,0.23880597014925373,0.36363636363636365,0.2033898305084746,0.2857142857142857,0.0,0.2222222222222222,0.5765765765765766
eucl_params_nodiv,1.0,barycenter,45,0.4400857142979544,5.025971174240112,0.4076097011566162,5.4335808753967285,2622.4,0.410958904109589,0.21621621621621623,0.3111111111111111,0.41935483870967744,0.0,0.0,0.6299212598425197
eucl_params_nodiv,1.0,barycenter,46,0.3504868517103811,1.0028808116912842,0.24603748321533203,1.2489182949066162,2622.4,0.2647058823529412,0.16,0.2222222222222222,0.23529411764705882,0.0,0.23529411764705882,0.6363636363636364
eucl_raw,0.0001,barycenter,42,0.7218870804122772,6.447046518325806,0.40594959259033203,6.852996110916138,2633.3,0.7692307692307693,0.5217391304347826,0.5641025641025641,0.6285714285714286,0.0,0.8,0.8865979381443299
eucl_raw,0.0001,barycenter,43,0.5897000442104545,6.299481153488159,0.4355762004852295,6.735057353973389,2633.3,0.4225352112676056,0.5,0.5555555555555556,0.46511627906976744,0.0,0.2857142857142857,0.9108910891089109
eucl_raw,0.0001,barycenter,44,0.7314414007045587,6.293154001235962,0.43135833740234375,6.724512338638306,2633.3,0.6593406593406593,0.5263157894736842,0.7692307692307693,0.6136363636363636,0.0,0.4,0.9615384615384616
eucl_raw,0.0001,barycenter,45,0.6133401660612351,6.059159755706787,0.44517040252685547,6.504330158233643,2633.3,0.5121951219512195,0.5625,0.55,0.4791666666666667,0.0,0.0,0.8936170212765957
eucl_raw,0.0001,barycenter,46,0.7302989644881487,1.3376662731170654,0.15706849098205566,1.494734764099121,2633.3,0.6419753086419753,0.7272727272727273,0.717948717948718,0.6526315789473685,0.0,0.6666666666666666,0.9072164948453608
eucl_raw_nodiv,0.0001,barycenter,42,0.7218870804122772,5.237337350845337,0.36650753021240234,5.603844881057739,2609.8,0.7692307692307693,0.5217391304347826,0.5641025641025641,0.6285714285714286,0.0,0.8,0.8865979381443299
eucl_raw_nodiv,0.0001,barycenter,43,0.5897000442104545,5.295162677764893,0.4270312786102295,5.722193956375122,2609.8,0.4225352112676056,0.5,0.5555555555555556,0.46511627906976744,0.0,0.2857142857142857,0.9108910891089109
eucl_raw_nodiv,0.0001,barycenter,44,0.7314414007045587,5.2475409507751465,0.5254678726196289,5.773008823394775,2609.8,0.6593406593406593,0.5263157894736842,0.7692307692307693,0.6136363636363636,0.0,0.4,0.9615384615384616
eucl_raw_nodiv,0.0001,barycenter,45,0.6133401660612351,5.172307968139648,0.48352551460266113,5.65583348274231,2609.8,0.5121951219512195,0.5625,0.55,0.4791666666666667,0.0,0.0,0.8936170212765957
eucl_raw_nodiv,0.0001,barycenter,46,0.7302989644881487,1.0116477012634277,0.16255402565002441,1.1742017269134521,2609.8,0.6419753086419753,0.7272727272727273,0.717948717948718,0.6526315789473685,0.0,0.6666666666666666,0.9072164948453608
sta,0.0001,barycenter,42,0.6471485376378574,2816.000686645508,252.63221049308777,3068.6328971385956,2078.8,0.6410256410256411,0.5853658536585366,0.5,0.5797101449275363,0.0,0.4444444444444444,0.8131868131868132
sta,0.0001,barycenter,43,0.5966342527281995,2813.9401304721832,253.98283505439758,3067.922965526581,2078.8,0.4507042253521127,0.6111111111111112,0.5789473684210527,0.4810126582278481,0.0,0.15384615384615385,0.8631578947368421
sta,0.0001,barycenter,44,0.6783911863893299,2810.8503522872925,253.96354985237122,3064.8139021396637,2078.8,0.5316455696202531,0.5714285714285714,0.6976744186046512,0.5609756097560976,0.11764705882352941,0.25,0.96
sta,0.0001,barycenter,45,0.565430411986803,2811.9888830184937,252.68788409233093,3064.6767671108246,2078.8,0.40540540540540543,0.6842105263157895,0.3888888888888889,0.4222222222222222,0.0,0.8,0.8791208791208791
sta,0.0001,barycenter,46,0.6793288942167521,1090.336174249649,144.0133147239685,1234.3494889736176,2078.8,0.5263157894736842,0.7428571428571429,0.6190476190476191,0.6363636363636364,0.0,0.6666666666666666,0.8936170212765957
