k,gamma,seed,fold,f1,train_time,test_time,total_time,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,f1_class_6
1,0.0001,42,,0.616865951993872,1.430511474609375e-06,0.4652271270751953,0.4652285575866699,0.7333333333333333,0.3548387096774194,0.4827586206896552,0.65,0.0,1.0,0.6153846153846154
1,0.0001,43,,0.6050220977279801,5.4836273193359375e-06,0.4544484615325928,0.4544539451599121,0.6274509803921569,0.6153846153846154,0.6181818181818182,0.47058823529411764,0.0,0.6666666666666666,0.691358024691358
1,0.0001,44,,0.6363769313968307,1.1920928955078125e-06,0.4770042896270752,0.4770054817199707,0.6597938144329897,0.2962962962962963,0.7441860465116279,0.4318181818181818,0.0,0.6666666666666666,0.8222222222222222
1,0.01,42,,0.616865951993872,3.337860107421875e-06,0.426908016204834,0.4269113540649414,0.7333333333333333,0.3548387096774194,0.4827586206896552,0.65,0.0,1.0,0.6153846153846154
1,0.01,43,,0.6053241170431688,2.1457672119140625e-06,0.4901773929595947,0.49017953872680664,0.6274509803921569,0.6,0.6181818181818182,0.47761194029850745,0.0,0.6666666666666666,0.691358024691358
1,0.01,44,,0.6363769313968307,2.6226043701171875e-06,0.46253490447998047,0.4625375270843506,0.6597938144329897,0.2962962962962963,0.7441860465116279,0.4318181818181818,0.0,0.6666666666666666,0.8222222222222222
1,0.1,42,,0.6148157599296216,1.430511474609375e-06,0.43944334983825684,0.43944478034973145,0.7333333333333333,0.375,0.4827586206896552,0.6582278481012658,0.0,1.0,0.5974025974025974
1,0.1,43,,0.61806660715195,3.814697265625e-06,0.4638686180114746,0.46387243270874023,0.6407766990291263,0.5853658536585366,0.6296296296296297,0.5074626865671642,0.0,0.6666666666666666,0.7
1,0.1,44,,0.6314698936683519,1.6689300537109375e-06,0.4446594715118408,0.44466114044189453,0.6458333333333334,0.2962962962962963,0.7441860465116279,0.42696629213483145,0.0,0.6666666666666666,0.8222222222222222
1,1.0,42,,0.5663091393078971,1.430511474609375e-06,0.4837305545806885,0.4837319850921631,0.6956521739130435,0.34285714285714286,0.42857142857142855,0.5714285714285714,0.0,1.0,0.56
1,1.0,43,,0.5525827750238747,1.9073486328125e-06,0.47481322288513184,0.47481513023376465,0.628099173553719,0.5106382978723404,0.6415094339622641,0.2978723404255319,0.0,0.6666666666666666,0.6493506493506493
1,1.0,44,,0.6283277023728151,2.6226043701171875e-06,0.47028446197509766,0.4702870845794678,0.6105263157894737,0.4,0.7142857142857143,0.4090909090909091,0.0,0.6666666666666666,0.8444444444444444
1,10.0,42,,0.5282525310267228,1.6689300537109375e-06,0.3626101016998291,0.3626117706298828,0.6190476190476191,0.3287671232876712,0.35714285714285715,0.47761194029850745,0.0,0.0,0.6428571428571429
1,10.0,43,,0.5519020321786468,1.430511474609375e-06,0.35468196868896484,0.35468339920043945,0.6776859504132231,0.5581395348837209,0.5,0.15,0.0,0.6666666666666666,0.7526881720430108
1,10.0,44,,0.6313161148301335,1.6689300537109375e-06,0.36279916763305664,0.36280083656311035,0.6813186813186813,0.36363636363636365,0.7111111111111111,0.4,0.0,0.6666666666666666,0.8037383177570093
1,100.0,42,,0.4847475410869524,1.9073486328125e-06,0.41817378997802734,0.41817569732666016,0.6046511627906976,0.35294117647058826,0.24,0.40625,0.0,0.0,0.6021505376344086
1,100.0,43,,0.494905480113658,3.5762786865234375e-06,0.4268760681152344,0.4268796443939209,0.656,0.47619047619047616,0.425531914893617,0.0,0.0,0.6666666666666666,0.7368421052631579
1,100.0,44,,0.569902334525843,1.9073486328125e-06,0.3896517753601074,0.38965368270874023,0.64,0.42105263157894735,0.65,0.2535211267605634,0.0,0.6666666666666666,0.7478260869565218
1,10000.0,42,,0.4906217722821139,1.430511474609375e-06,0.40749263763427734,0.40749406814575195,0.5952380952380952,0.35294117647058826,0.3076923076923077,0.40625,0.0,0.0,0.6021505376344086
1,10000.0,43,,0.49383158237207925,3.5762786865234375e-06,0.373737096786499,0.37374067306518555,0.656,0.47619047619047616,0.43478260869565216,0.0,0.0,0.6666666666666666,0.7291666666666666
1,10000.0,44,,0.5640628385204934,1.430511474609375e-06,0.3847956657409668,0.3847970962524414,0.6262626262626263,0.42105263157894735,0.6341463414634146,0.2535211267605634,0.0,0.6666666666666666,0.7478260869565218
