lr,gamma,seed,fold,f1,train_time,test_time,total_time,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,f1_class_6
0.05,0.0001,42,,0.6084476143884048,3.847837209701538,0.4395434856414795,4.287380695343018,0.5853658536585366,0.6153846153846154,0.47058823529411764,0.5151515151515151,0.0,0.2857142857142857,0.7906976744186046
0.05,0.0001,43,,0.5369098203383917,3.763981819152832,0.4739041328430176,4.23788595199585,0.3076923076923077,0.6,0.5555555555555556,0.4444444444444444,0.0,0.13333333333333333,0.8351648351648352
0.05,0.0001,44,,0.5623680029213642,3.3533999919891357,0.5049843788146973,3.858384370803833,0.3835616438356164,0.48,0.5416666666666666,0.44776119402985076,0.07692307692307693,0.1111111111111111,0.8817204301075269
0.05,0.01,42,,0.6294973448954763,3.7686767578125,0.43208789825439453,4.2007646560668945,0.6590909090909091,0.6842105263157895,0.5306122448979592,0.41509433962264153,0.0,0.5714285714285714,0.8080808080808081
0.05,0.01,43,,0.5894049781040634,3.974210023880005,0.5264480113983154,4.50065803527832,0.5384615384615384,0.4878048780487805,0.5106382978723404,0.5423728813559322,0.0,0.17391304347826086,0.7708333333333334
0.05,0.01,44,,0.6503639566794768,3.207545042037964,0.5278689861297607,3.7354140281677246,0.5121951219512195,0.7096774193548387,0.6046511627906976,0.5882352941176471,0.09523809523809523,0.4,0.8631578947368421
0.05,0.1,42,,0.6480178308937422,3.8812296390533447,0.44805049896240234,4.329280138015747,0.7640449438202247,0.5454545454545454,0.6511627906976745,0.35555555555555557,0.0,0.6666666666666666,0.7924528301886793
0.05,0.1,43,,0.5231180036934132,3.5269522666931152,0.5076453685760498,4.034597635269165,0.42857142857142855,0.36363636363636365,0.5641025641025641,0.3404255319148936,0.0,0.26666666666666666,0.7964601769911505
0.05,0.1,44,,0.5208357371097472,2.563483238220215,0.4962172508239746,3.0597004890441895,0.4444444444444444,0.5161290322580645,0.5238095238095238,0.34375,0.09090909090909091,0.3333333333333333,0.7433628318584071
0.05,1.0,42,,0.6123357873958836,3.4702465534210205,0.4067063331604004,3.876952886581421,0.7441860465116279,0.5306122448979592,0.5454545454545454,0.3111111111111111,0.0,0.5714285714285714,0.7735849056603774
0.05,1.0,43,,0.5115847170962425,2.843470335006714,1.1796774864196777,4.023147821426392,0.4444444444444444,0.37735849056603776,0.5365853658536586,0.3111111111111111,0.0,0.23529411764705882,0.7719298245614035
0.05,1.0,44,,0.4874201402568256,2.1034059524536133,0.6909866333007812,2.7943925857543945,0.39436619718309857,0.48484848484848486,0.5238095238095238,0.29508196721311475,0.08695652173913043,0.3333333333333333,0.7192982456140351
0.05,10.0,42,,0.5374525303772023,1.4532361030578613,0.659508228302002,2.1127443313598633,0.7032967032967034,0.4897959183673469,0.46153846153846156,0.10526315789473684,0.0,0.5714285714285714,0.7478260869565218
0.05,10.0,43,,0.4679870141318282,1.3836290836334229,0.43677210807800293,1.8204011917114258,0.4383561643835616,0.3333333333333333,0.43243243243243246,0.1951219512195122,0.0,0.2857142857142857,0.7642276422764228
0.05,10.0,44,,0.5077005830658269,1.3874099254608154,0.40316081047058105,1.7905707359313965,0.39436619718309857,0.5333333333333333,0.5789473684210527,0.3225806451612903,0.08695652173913043,0.3333333333333333,0.7333333333333333
0.05,100.0,42,,0.5374525303772023,1.7088608741760254,0.4025442600250244,2.11140513420105,0.7032967032967034,0.4897959183673469,0.46153846153846156,0.10526315789473684,0.0,0.5714285714285714,0.7478260869565218
0.05,100.0,43,,0.4679870141318282,1.5906779766082764,0.5756723880767822,2.1663503646850586,0.4383561643835616,0.3333333333333333,0.43243243243243246,0.1951219512195122,0.0,0.2857142857142857,0.7642276422764228
0.05,100.0,44,,0.5271496042158181,1.2825610637664795,0.47464752197265625,1.7572085857391357,0.47368421052631576,0.5333333333333333,0.5789473684210527,0.3225806451612903,0.0,0.3333333333333333,0.7272727272727273
0.05,10000.0,42,,0.5374525303772023,1.7554712295532227,0.4117918014526367,2.1672630310058594,0.7032967032967034,0.4897959183673469,0.46153846153846156,0.10526315789473684,0.0,0.5714285714285714,0.7478260869565218
0.05,10000.0,43,,0.4679870141318282,1.8180267810821533,0.41169166564941406,2.2297184467315674,0.4383561643835616,0.3333333333333333,0.43243243243243246,0.1951219512195122,0.0,0.2857142857142857,0.7642276422764228
0.05,10000.0,44,,0.5271496042158181,1.4119298458099365,0.33532118797302246,1.747251033782959,0.47368421052631576,0.5333333333333333,0.5789473684210527,0.3225806451612903,0.0,0.3333333333333333,0.7272727272727273
