lr,gamma,seed,fold,f1,train_time,test_time,total_time,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,f1_class_6
0.05,0.0001,42,,0.619047619047619,21.232775449752808,0.7754156589508057,22.008191108703613,0.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,0.0
0.05,0.0001,43,,0.8095238095238094,21.824193954467773,0.6848490238189697,22.509042978286743,0.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0
0.05,0.0001,44,,0.5238095238095238,22.106348037719727,0.781259298324585,22.88760733604431,1.0,0.6666666666666666,1.0,0.0,1.0,0.0,0.0
0.05,0.01,42,,0.619047619047619,21.266685962677002,0.7657411098480225,22.032427072525024,0.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,0.0
0.05,0.01,43,,0.8095238095238094,21.855062246322632,0.7002477645874023,22.555310010910034,0.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0
0.05,0.01,44,,0.619047619047619,22.210132598876953,0.8240246772766113,23.034157276153564,1.0,0.6666666666666666,1.0,0.0,1.0,0.6666666666666666,0.0
0.05,0.1,42,,0.619047619047619,22.195972442626953,0.6611030101776123,22.857075452804565,0.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,0.0
0.05,0.1,43,,0.619047619047619,22.183531761169434,0.68927001953125,22.872801780700684,0.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.6666666666666666
0.05,0.1,44,,0.4285714285714285,22.194193124771118,0.8118913173675537,23.006084442138672,0.0,0.6666666666666666,1.0,0.0,0.6666666666666666,0.6666666666666666,0.0
0.05,1.0,42,,0.6428571428571429,22.20462965965271,0.6857931613922119,22.890422821044922,0.0,0.5,1.0,1.0,1.0,1.0,0.0
0.05,1.0,43,,0.619047619047619,22.18989634513855,0.6899020671844482,22.879798412322998,0.0,1.0,0.0,1.0,0.6666666666666666,1.0,0.6666666666666666
0.05,1.0,44,,0.4285714285714285,22.146990537643433,0.7964458465576172,22.94343638420105,0.0,0.6666666666666666,1.0,0.0,0.6666666666666666,0.6666666666666666,0.0
0.05,10.0,42,,0.4857142857142857,22.234992265701294,0.6781420707702637,22.913134336471558,0.0,0.4,1.0,0.0,1.0,1.0,0.0
0.05,10.0,43,,0.4523809523809524,22.252948999404907,0.7163403034210205,22.969289302825928,0.0,1.0,0.0,0.0,0.6666666666666666,1.0,0.5
0.05,10.0,44,,0.4285714285714285,23.02611207962036,0.7721061706542969,23.798218250274658,0.0,0.6666666666666666,1.0,0.0,0.6666666666666666,0.6666666666666666,0.0
0.05,100.0,42,,0.4857142857142857,22.203940868377686,0.7068393230438232,22.91078019142151,0.0,0.4,1.0,0.0,1.0,1.0,0.0
0.05,100.0,43,,0.4523809523809524,22.2577121257782,0.7165267467498779,22.974238872528076,0.0,1.0,0.0,0.0,0.6666666666666666,1.0,0.5
0.05,100.0,44,,0.4285714285714285,23.18057346343994,0.7683029174804688,23.94887638092041,0.0,0.6666666666666666,1.0,0.0,0.6666666666666666,0.6666666666666666,0.0
0.05,10000.0,42,,0.4857142857142857,21.306443691253662,0.795830488204956,22.102274179458618,0.0,0.4,1.0,0.0,1.0,1.0,0.0
0.05,10000.0,43,,0.4523809523809524,21.417285919189453,0.6201486587524414,22.037434577941895,0.0,1.0,0.0,0.0,0.6666666666666666,1.0,0.5
0.05,10000.0,44,,0.4285714285714285,24.26192045211792,0.6217226982116699,24.88364315032959,0.0,0.6666666666666666,1.0,0.0,0.6666666666666666,0.6666666666666666,0.0
