k,gamma,f1_mean,f1_std,n_folds_ok,train_time_mean,test_time_mean,total_time_mean
1,0.0001,0.7443138558269494,0.029456893767483675,3,0.06982080141703288,0.6983178456624349,0.7681386470794678
1,0.01,0.7437570945369938,0.024360161800113595,3,0.07029048601786296,0.7165420055389404,0.7868324915568033
1,0.1,0.5646665184060286,0.02216129374775982,3,0.06933736801147461,0.6858680248260498,0.7552053928375244
1,1.0,0.4726190809547229,0.035469071697619876,3,0.0693376859029134,0.7079835732777914,0.7773212591807047
1,10.0,0.45711330160438934,0.042339145672922816,3,0.06917977333068848,0.5448148250579834,0.6139945983886719
1,100.0,0.45380635407440484,0.03870733892575323,3,0.06995677947998047,0.552893320719401,0.6228501001993815
1,10000.0,0.4217033099245901,0.033829380002211966,3,0.06948423385620117,0.5535844961802164,0.6230687300364176
