lr,gamma,f1_mean,f1_std,n_folds_ok,train_time_mean,test_time_mean,total_time_mean
0.05,0.0001,0.5709017231265872,0.05106902725283252,3,4.685383955637614,0.4261933962504069,5.1115773518880205
0.05,0.01,0.5867404068642192,0.044832708715407704,3,4.6749339898427325,0.4148677984873454,5.089801788330078
0.05,0.1,0.5331301301829351,0.03830934613666793,3,4.6680675347646075,0.41242098808288574,5.080488522847493
0.05,1.0,0.445632320568845,0.0657552785729878,3,4.682049512863159,0.40685828526814777,5.088907798131307
0.05,10.0,0.4263722792215749,0.07541881153518379,3,4.161413590113322,0.3463677565256755,4.507781346638997
0.05,100.0,0.4297591932838702,0.0713876510108133,3,3.971374034881592,0.34366750717163086,4.315041542053223
0.05,10000.0,0.4278649649117372,0.07161106062177797,3,3.8614396254221597,0.3593711853027344,4.2208108107248945
