lr,gamma,f1_mean,f1_std,n_folds_ok,train_time_mean,test_time_mean,total_time_mean
0.05,0.0001,0.350225428902512,0.025008059566686787,3,2.374208609263102,0.36989299456278485,2.744101603825887
0.05,0.01,0.34422439178239256,0.03278618578106012,3,2.4959566593170166,0.34195462862650555,2.837911287943522
0.05,0.1,0.34707360781662305,0.02281127697183107,3,1.9370111624399822,0.5358315308888754,2.4728426933288574
0.05,1.0,0.36004216075037604,0.02534078973672283,3,1.9561657905578613,0.2935471534729004,2.2497129440307617
0.05,10.0,0.35138329395273143,0.01681271119366207,3,1.5746583938598633,0.33793266614278156,1.9125910600026448
0.05,100.0,0.3507245864733504,0.022766039880130276,3,1.5456020037333171,0.29831361770629883,1.843915621439616
0.05,10000.0,0.35462177761786423,0.018497967580952387,3,1.0979199409484863,0.41643333435058594,1.5143532752990723
