k,gamma,seed,fold,f1,train_time,test_time,total_time,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,f1_class_6
1,0.0001,42,,0.45227910687624595,0.0842440128326416,0.4422435760498047,0.5264875888824463,0.3157894736842105,0.3783783783783784,0.5384615384615384,0.3673469387755102,0.47058823529411764,0.3333333333333333,0.676056338028169
1,0.0001,43,,0.34406221522785235,0.07809877395629883,0.3958268165588379,0.4739255905151367,0.20833333333333334,0.3333333333333333,0.2,0.2553191489361702,0.36363636363636365,0.4,0.7096774193548387
1,0.0001,44,,0.3896707255971582,0.07373857498168945,0.41141533851623535,0.4851539134979248,0.2777777777777778,0.4,0.32558139534883723,0.39215686274509803,0.23529411764705882,0.4,0.5882352941176471
1,0.01,42,,0.4502853851996249,0.08274674415588379,0.48410487174987793,0.5668516159057617,0.3076923076923077,0.34285714285714286,0.5490196078431373,0.40816326530612246,0.47058823529411764,0.3333333333333333,0.6575342465753424
1,0.01,43,,0.3696582085012839,0.07970762252807617,0.44925355911254883,0.528961181640625,0.24489795918367346,0.42105263157894735,0.21052631578947367,0.25,0.38095238095238093,0.42857142857142855,0.7096774193548387
1,0.01,44,,0.39572449753328304,0.07789015769958496,0.4350166320800781,0.5129067897796631,0.2857142857142857,0.4,0.32558139534883723,0.4230769230769231,0.25,0.4444444444444444,0.5714285714285714
1,0.1,42,,0.40769725721014494,0.08069157600402832,0.4956331253051758,0.5763247013092041,0.23529411764705882,0.35294117647058826,0.40816326530612246,0.46808510638297873,0.46153846153846156,0.5714285714285714,0.5348837209302325
1,0.1,43,,0.31550960037550074,0.07980084419250488,0.41481709480285645,0.49461793899536133,0.2222222222222222,0.55,0.06896551724137931,0.23809523809523808,0.14285714285714285,0.6666666666666666,0.4835164835164835
1,0.1,44,,0.32301882968549633,0.0760505199432373,0.47089529037475586,0.5469458103179932,0.2727272727272727,0.32432432432432434,0.2564102564102564,0.28,0.2222222222222222,0.4,0.4935064935064935
1,1.0,42,,0.36365189218990396,0.08153390884399414,0.4639413356781006,0.5454752445220947,0.18181818181818182,0.3783783783783784,0.35555555555555557,0.4090909090909091,0.2,0.6666666666666666,0.4842105263157895
1,1.0,43,,0.2489274242147805,0.07954716682434082,0.4255983829498291,0.5051455497741699,0.32142857142857145,0.3333333333333333,0.0,0.13793103448275862,0.16666666666666666,0.5454545454545454,0.42424242424242425
1,1.0,44,,0.3011688798475675,0.07127809524536133,0.4219551086425781,0.49323320388793945,0.2857142857142857,0.3157894736842105,0.3157894736842105,0.24390243902439024,0.0,0.0,0.46511627906976744
1,10.0,42,,0.3292017542815536,0.07210350036621094,0.37777185440063477,0.4498753547668457,0.23529411764705882,0.3783783783783784,0.27906976744186046,0.3076923076923077,0.0,0.6666666666666666,0.47058823529411764
1,10.0,43,,0.2258907540411955,0.07900834083557129,0.3732314109802246,0.4522397518157959,0.2909090909090909,0.3157894736842105,0.0,0.07407407407407407,0.16666666666666666,0.5454545454545454,0.4117647058823529
1,10.0,44,,0.2967160622701915,0.07838940620422363,0.33945345878601074,0.4178428649902344,0.28,0.358974358974359,0.3157894736842105,0.1951219512195122,0.0,0.0,0.4523809523809524
1,100.0,42,,0.328890049604474,0.09497928619384766,0.3697662353515625,0.46474552154541016,0.23529411764705882,0.3783783783783784,0.2727272727272727,0.3076923076923077,0.0,0.6666666666666666,0.4752475247524752
1,100.0,43,,0.2258907540411955,0.07554793357849121,0.33876872062683105,0.41431665420532227,0.2909090909090909,0.3157894736842105,0.0,0.07407407407407407,0.16666666666666666,0.5454545454545454,0.4117647058823529
1,100.0,44,,0.30638041391395365,0.06926512718200684,0.3550119400024414,0.42427706718444824,0.28,0.358974358974359,0.3684210526315789,0.2,0.0,0.0,0.4470588235294118
1,10000.0,42,,0.3165985826481643,0.09681510925292969,0.37373781204223633,0.470552921295166,0.18181818181818182,0.3783783783783784,0.23809523809523808,0.37209302325581395,0.0,0.4,0.4752475247524752
1,10000.0,43,,0.26318126318126317,0.07930111885070801,0.3541839122772217,0.4334850311279297,0.2909090909090909,0.358974358974359,0.07692307692307693,0.14285714285714285,0.16666666666666666,0.5454545454545454,0.42424242424242425
1,10000.0,44,,0.3020245331595997,0.06987166404724121,0.3690500259399414,0.4389216899871826,0.2857142857142857,0.3157894736842105,0.3684210526315789,0.22727272727272727,0.0,0.0,0.43373493975903615
