lr,gamma,seed,fold,f1,train_time,test_time,total_time,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,f1_class_6
0.05,0.0001,42,,0.7218870804122772,2.2624411582946777,0.21625852584838867,2.4786996841430664,0.7692307692307693,0.5217391304347826,0.5641025641025641,0.6285714285714286,0.0,0.8,0.8865979381443299
0.05,0.0001,43,,0.5897000442104545,1.6964256763458252,0.5220785140991211,2.2185041904449463,0.4225352112676056,0.5,0.5555555555555556,0.46511627906976744,0.0,0.2857142857142857,0.9108910891089109
0.05,0.0001,44,,0.7314414007045587,1.1933023929595947,0.2708127498626709,1.4641151428222656,0.6593406593406593,0.5263157894736842,0.7692307692307693,0.6136363636363636,0.0,0.4,0.9615384615384616
0.05,0.01,42,,0.7218870804122772,2.148726463317871,0.2500874996185303,2.3988139629364014,0.7692307692307693,0.5217391304347826,0.5641025641025641,0.6285714285714286,0.0,0.8,0.8865979381443299
0.05,0.01,43,,0.5897000442104545,2.11596941947937,0.23906421661376953,2.3550336360931396,0.4225352112676056,0.5,0.5555555555555556,0.46511627906976744,0.0,0.2857142857142857,0.9108910891089109
0.05,0.01,44,,0.7314414007045587,3.1225364208221436,0.21077728271484375,3.3333137035369873,0.6593406593406593,0.5263157894736842,0.7692307692307693,0.6136363636363636,0.0,0.4,0.9615384615384616
0.05,0.1,42,,0.7167561486132914,2.0996031761169434,0.25061845779418945,2.350221633911133,0.7692307692307693,0.5333333333333333,0.5641025641025641,0.6285714285714286,0.0,0.5714285714285714,0.875
0.05,0.1,43,,0.5909441278024873,1.4507884979248047,0.25626492500305176,1.7070534229278564,0.4225352112676056,0.5238095238095238,0.5555555555555556,0.46511627906976744,0.0,0.2857142857142857,0.9090909090909091
0.05,0.1,44,,0.7277042025386042,1.9079618453979492,0.23370838165283203,2.1416702270507812,0.6521739130434783,0.6,0.75,0.6046511627906976,0.0,0.4,0.9514563106796117
0.05,1.0,42,,0.653636558119042,2.3243408203125,0.24201393127441406,2.566354751586914,0.7252747252747253,0.5238095238095238,0.5,0.5245901639344263,0.0,0.5714285714285714,0.8041237113402062
0.05,1.0,43,,0.5790401690889496,2.18993878364563,0.21534085273742676,2.4052796363830566,0.4444444444444444,0.3902439024390244,0.5945945945945946,0.525,0.0,0.25,0.8235294117647058
0.05,1.0,44,,0.6984866380308993,1.7742252349853516,0.35463619232177734,2.128861427307129,0.6741573033707865,0.4,0.7727272727272727,0.5679012345679012,0.0,0.4,0.897196261682243
0.05,10.0,42,,0.6224999221516836,1.3190937042236328,0.33223628997802734,1.6513299942016602,0.7906976744186046,0.4166666666666667,0.5909090909090909,0.44,0.0,0.8,0.6732673267326733
0.05,10.0,43,,0.514938232077771,1.3383562564849854,0.25905585289001465,1.597412109375,0.5454545454545454,0.3050847457627119,0.5263157894736842,0.32142857142857145,0.0,0.3333333333333333,0.6981132075471698
0.05,10.0,44,,0.6456586579611033,1.4095430374145508,0.17940258979797363,1.5889456272125244,0.5822784810126582,0.5333333333333333,0.75,0.5194805194805194,0.0,0.6666666666666666,0.8037383177570093
0.05,100.0,42,,0.6261575710744067,1.0572257041931152,0.2214341163635254,1.2786598205566406,0.8045977011494253,0.43137254901960786,0.5777777777777777,0.4583333333333333,0.0,0.6666666666666666,0.6666666666666666
0.05,100.0,43,,0.48303885420654086,1.0757858753204346,0.17939996719360352,1.255185842514038,0.4864864864864865,0.3,0.46511627906976744,0.38596491228070173,0.0,0.3333333333333333,0.6274509803921569
0.05,100.0,44,,0.6108092463443672,1.0844581127166748,0.16278839111328125,1.247246503829956,0.5263157894736842,0.5,0.7804878048780488,0.4507042253521127,0.0,0.6666666666666666,0.7818181818181819
0.05,10000.0,42,,0.5723808085602105,2.1422674655914307,0.17787504196166992,2.3201425075531006,0.7954545454545454,0.38461538461538464,0.5,0.27906976744186046,0.0,0.5714285714285714,0.6666666666666666
0.05,10000.0,43,,0.4755244291116872,1.1658847332000732,0.19280433654785156,1.3586890697479248,0.5,0.1509433962264151,0.45714285714285713,0.32,0.0,0.3076923076923077,0.6776859504132231
0.05,10000.0,44,,0.5422639808099109,1.8603262901306152,0.1639711856842041,2.0242974758148193,0.5925925925925926,0.34782608695652173,0.5,0.36923076923076925,0.0,0.5,0.706766917293233
