k,gamma,f1_mean,f1_std,n_folds_ok,train_time_mean,test_time_mean,total_time_mean
1,0.0001,0.3953373492337522,0.04436069489303299,3,0.08195201555887859,0.44198179244995117,0.5239338080088297
1,0.01,0.4052226970780639,0.033594119044169354,3,0.07671085993448894,0.40012653668721515,0.4768373966217041
1,0.1,0.34874189575704734,0.04180030394033488,3,0.08356277147928874,0.43606098492940265,0.5196237564086914
1,1.0,0.304582732084084,0.04689823506532243,3,0.08284274737040202,0.44637219111124676,0.5292149384816488
1,10.0,0.2839361901976469,0.043133780577089643,3,0.08222707112630208,0.372799555460612,0.45502662658691406
1,100.0,0.28705373918654103,0.044214281166815375,3,0.07352217038472493,0.38675713539123535,0.46027930577596027
1,10000.0,0.29393479299634234,0.022545294064601124,3,0.07235169410705566,0.37307945887247723,0.4454311529795329
