lr,gamma,seed,fold,f1,train_time,test_time,total_time,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,f1_class_6
0.05,0.0001,42,,0.3196946211683054,3.6398439407348633,0.32181572914123535,3.9616596698760986,0.2564102564102564,0.26666666666666666,0.13636363636363635,0.17543859649122806,0.0,0.0,0.6
0.05,0.0001,43,,0.38133685863009165,3.316009521484375,0.37720465660095215,3.693214178085327,0.43956043956043955,0.15789473684210525,0.2,0.26666666666666666,0.0,0.0,0.5714285714285714
0.05,0.0001,44,,0.3542846709162498,2.9624040126800537,0.4693875312805176,3.4317915439605713,0.33766233766233766,0.32432432432432434,0.08888888888888889,0.24615384615384617,0.0,0.0,0.5964912280701754
0.05,0.01,42,,0.3148691116709263,4.247283697128296,0.3252546787261963,4.572538375854492,0.2564102564102564,0.25806451612903225,0.13953488372093023,0.2,0.0,0.0,0.5669291338582677
0.05,0.01,43,,0.356362875527151,2.8471920490264893,0.3186001777648926,3.165792226791382,0.34146341463414637,0.13636363636363635,0.20833333333333334,0.29411764705882354,0.0,0.0,0.5625
0.05,0.01,44,,0.3717119171555262,3.918743848800659,0.37006545066833496,4.288809299468994,0.41025641025641024,0.34285714285714286,0.15384615384615385,0.21052631578947367,0.0,0.0,0.5789473684210527
0.05,0.1,42,,0.3321187109187109,3.6652376651763916,0.32941126823425293,3.9946489334106445,0.24,0.14814814814814814,0.06666666666666667,0.2727272727272727,0.0,0.0,0.65
0.05,0.1,43,,0.31886582523828394,3.8917758464813232,0.33919739723205566,4.230973243713379,0.358974358974359,0.06451612903225806,0.19607843137254902,0.3516483516483517,0.0,0.0,0.4
0.05,0.1,44,,0.38180478443760274,3.5383641719818115,0.3560202121734619,3.8943843841552734,0.4186046511627907,0.35294117647058826,0.18604651162790697,0.29508196721311475,0.0,0.0,0.5294117647058824
0.05,1.0,42,,0.22820101431937118,3.4200072288513184,0.3103799819946289,3.7303872108459473,0.28169014084507044,0.0,0.0,0.05263157894736842,0.0,0.0,0.4752475247524752
0.05,1.0,43,,0.2736054091779812,2.9098711013793945,0.5457429885864258,3.4556140899658203,0.1935483870967742,0.0,0.25806451612903225,0.16326530612244897,0.0,0.0,0.5263157894736842
0.05,1.0,44,,0.3254058553256568,2.8209404945373535,0.7423272132873535,3.563267707824707,0.23529411764705882,0.2,0.21428571428571427,0.2597402597402597,0.0,0.0,0.5637583892617449
0.05,10.0,42,,0.3353987764080561,2.086268186569214,0.384537935256958,2.470806121826172,0.3157894736842105,0.1111111111111111,0.08695652173913043,0.3170731707317073,0.0,0.0,0.5578231292517006
0.05,10.0,43,,0.36935356589278545,1.7802364826202393,0.8111364841461182,2.5913729667663574,0.4745762711864407,0.0,0.358974358974359,0.09302325581395349,0.0,0.0,0.5909090909090909
0.05,10.0,44,,0.40572154268495736,2.1017026901245117,0.5284614562988281,2.63016414642334,0.5208333333333334,0.4,0.19230769230769232,0.21818181818181817,0.0,0.0,0.5528455284552846
0.05,100.0,42,,0.3523269917399413,3.07851243019104,0.32114553451538086,3.399657964706421,0.3333333333333333,0.14814814814814814,0.14814814814814814,0.32,0.0,0.0,0.5611510791366906
0.05,100.0,43,,0.3543718924037427,1.7853829860687256,0.30323195457458496,2.0886149406433105,0.45217391304347826,0.0,0.35555555555555557,0.09302325581395349,0.0,0.0,0.5625
0.05,100.0,44,,0.39793802160833286,2.9057397842407227,0.26276254653930664,3.1685023307800293,0.4835164835164835,0.4,0.20689655172413793,0.2222222222222222,0.0,0.0,0.5528455284552846
0.05,10000.0,42,,0.35203513243036055,1.4677860736846924,0.3203296661376953,1.7881157398223877,0.3291139240506329,0.14814814814814814,0.14814814814814814,0.32432432432432434,0.0,0.0,0.5611510791366906
0.05,10000.0,43,,0.35013530037214247,2.031113624572754,0.3180825710296631,2.349196195602417,0.43859649122807015,0.0,0.35555555555555557,0.09090909090909091,0.0,0.0,0.5625
0.05,10000.0,44,,0.39793802160833286,2.6510984897613525,0.2864243984222412,2.9375228881835938,0.4835164835164835,0.4,0.20689655172413793,0.2222222222222222,0.0,0.0,0.5528455284552846
