gamma,euclidean_raw_f1_mean,euclidean_raw_f1_std,euclidean_params_f1_mean,euclidean_params_f1_std,wasserstein_params_f1_mean,wasserstein_params_f1_std
0.001,0.13067855038798834,0.05531188496514293,0.25354796688672854,0.09775904653284608,0.27721432904440907,0.062531545421312
0.01,0.13082771848896368,0.055126907332415764,0.25536053541801473,0.09414333916629908,0.3172974438274386,0.04529349586637416
0.1,0.13082771848896368,0.055126907332415764,0.2505980142962816,0.09410581450255746,0.37228833071712236,0.03573893310386568
1.0,0.13067855038798834,0.05531188496514293,0.23685519096859084,0.06566913814694429,0.4027054392437727,0.07439109959360128
10.0,0.13253610194510226,0.05956847587517066,0.2371560346483971,0.06761015866319392,0.47811617496739045,0.027998817483243316
100.0,0.13292173524523898,0.06044209322586662,0.24041025149993933,0.06674910979901472,0.3947186178310969,0.0518818237774173
1000.0,0.132215465426603,0.05684252981803523,0.2917546284744935,0.0339297363438198,0.40177101724122954,0.05185758324166428
